symbol,close,mcap_cr,weight
GMMPFAUDLR,4418.7,2907.0,0.03
GMRINFRA,38.35,9028.0,0.08
GALAXYSURF,3293.1,3386.0,0.03
GARFIBRES,3335.65,3164.0,0.03
GICRE,145.05,3563.0,0.03
GILLETTE,5898.95,4805.0,0.04
GLAND,3719.9,18328.0,0.16
GLAXO,1480.75,6271.0,0.05
GLENMARK,510.45,7634.0,0.07
GODFRYPHLP,1195.7,1679.0,0.01
GODREJAGRO,640.0,1844.0,0.02
GODREJCP,1029.9,38965.0,0.34
GODREJIND,579.15,3704.0,0.03
GODREJPROP,2311.9,26993.0,0.24
GRANULES,320.35,4523.0,0.04
GRAPHITE,604.55,4134.0,0.04
GRASIM,1669.45,63723.0,0.56
GESHIP,368.7,3847.0,0.03
GREAVESCOT,137.25,1396.0,0.01
GRINDWELL,1372.65,6383.0,0.06
GUJALKALI,672.75,1285.0,0.01
GAEL,173.25,1430.0,0.01
FLUOROCHEM,1911.35,6719.0,0.06
GUJGASLTD,637.45,10970.0,0.1
GNFC,434.25,3982.0,0.03
GPPL,110.6,2994.0,0.03
GSFC,129.25,2936.0,0.03
GSPL,316.0,8915.0,0.08
HEG,2248.0,3471.0,0.03
HCLTECH,1279.55,138891.0,1.21
HDFCAMC,2908.6,16120.0,0.14
HDFCBANK,1594.95,697725.0,6.08
HDFCLIFE,722.4,67229.0,0.59
HFCL,71.4,5339.0,0.05
HAPPSTMNDS,1379.95,7904.0,0.07
HATHWAY,24.0,1062.0,0.01
HATSUN,1409.35,7899.0,0.07
HAVELLS,1373.1,34399.0,0.3
HEIDELBERG,256.8,1804.0,0.02
HEMIPROP,142.5,1056.0,0.01
HEROMOTOCO,2832.5,36785.0,0.32
HIKAL,603.45,2307.0,0.02
HINDALCO,487.95,71271.0,0.62
HGS,2861.5,1972.0,0.02
HAL,1354.45,11323.0,0.1
HINDCOPPER,109.95,2871.0,0.03
HINDPETRO,300.0,19150.0,0.17
HINDUNILVR,2701.8,241229.0,2.1
