symbol,close,mcap_cr,weight
ADANIPORTS,702.4,51376.0,0.81
ASIANPAINT,2537.4,114392.0,1.8
AXISBANK,697.45,175198.0,2.76
BAJAJ-AUTO,3670.6,47797.0,0.75
BAJFINANCE,5149.85,136542.0,2.15
BAJAJFINSV,9668.6,58468.0,0.92
BPCL,427.95,39918.0,0.63
BHARTIARTL,517.3,125005.0,1.97
BRITANNIA,3625.05,42785.0,0.67
CIPLA,815.1,41413.0,0.65
COALINDIA,130.35,27313.0,0.43
DIVISLAB,3622.8,46163.0,0.73
DRREDDY,4516.0,54824.0,0.86
EICHERMOT,2603.95,36299.0,0.57
GRASIM,1450.55,55355.0,0.87
HCLTECH,982.65,106663.0,1.68
HDFCBANK,1493.65,650499.0,10.24
HDFCLIFE,696.2,57686.0,0.91
HEROMOTOCO,2913.6,37835.0,0.6
HINDALCO,326.85,47731.0,0.75
HINDUNILVR,2431.5,217093.0,3.42
HDFC,2498.1,449960.0,7.08
ICICIBANK,582.1,402549.0,6.34
ITC,218.5,190938.0,3.01
IOC,91.85,23347.0,0.37
INDUSINDBK,954.45,53869.0,0.85
INFY,1368.05,507013.0,7.98
JSWSTEEL,468.45,45294.0,0.71
KOTAKBANK,1753.0,257060.0,4.05
LT,1418.9,171377.0,2.7
M&M,795.25,76126.0,1.2
MARUTI,6859.2,91169.0,1.44
NTPC,106.55,50626.0,0.8
NESTLEIND,17165.2,61235.0,0.96
ONGC,102.15,37267.0,0.59
POWERGRID,215.65,55281.0,0.87
RELIANCE,2003.1,647625.0,10.19
SBILIFE,880.85,34356.0,0.54
SHREECEM,29465.4,39336.0,0.62
SBIN,364.3,139803.0,2.2
SUNPHARMA,597.8,64545.0,1.02
TCS,3177.85,329141.0,5.18
TATACONSUM,638.9,38271.0,0.6
TATAMOTORS,301.8,54112.0,0.85
TATASTEEL,811.85,61274.0,0.96
TECHM,991.45,61439.0,0.97
TITAN,1558.05,65011.0,1.02
UPL,641.85,35309.0,0.56
ULTRACEMCO,6737.95,77794.0,1.22
WIPRO,414.15,61268.0,0.96
