entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,margin_required_inr,margin_pct_of_capital,exit_reason,month,year
2023-12-13,2023-12-14,2023-12-26,21171.2,22000,20300,22300,20000,13.16,18.35,8.37,12.2,45.95,19.95,12.65,5.85,10.94,51.19,-40.26,40,5,-8051.2,289.064,57812.8,283525.2,141.8,SL,2023-12,2023
2024-12-09,2024-12-20,2024-12-31,24722.6,25700,23750,26000,23450,74.01,87.95,50.27,68.47,10.0,338.85,7.85,193.75,43.22,159.03,-115.81,65,5,-37638.25,256.78,83453.49999999999,507830.05,253.9,SL,2024-12,2024
2025-01-08,2025-01-28,2025-01-28,23236.0,24150,22300,24450,22000,100.42,63.53,68.8,44.39,0.0,0.0,0.0,0.0,50.76,0.0,50.76,65,5,16497.0,249.24,81003.0,476487.7,238.2,EXPIRY,2025-01,2025
2025-02-10,2025-02-25,2025-02-25,23400.3,24350,22450,24650,22150,67.57,53.73,29.7,33.8,0.0,0.0,0.0,0.0,57.8,0.0,57.8,65,5,18784.35,242.202,78715.65,496501.2,248.3,EXPIRY,2025-02,2025
2025-03-10,2025-03-18,2025-03-25,23056.8,24000,22150,24300,21850,31.23,44.48,16.15,34.24,203.6,3.95,74.5,3.25,25.33,140.18,-114.85,65,5,-37326.25,274.666,89266.45,493583.35,246.8,SL,2025-03,2025
2025-05-09,2025-05-12,2025-05-29,25502.1,26500,24500,26800,24200,118.59,181.24,82.94,169.56,428.6,37.3,277.7,30.1,47.32,170.75,-123.42,65,5,-40112.8,252.676,82119.7,481486.2,240.7,SL,2025-05,2025
2025-06-13,2025-06-26,2025-06-26,26335.6,27400,25300,27700,25000,37.54,51.89,25.0,38.5,0.0,0.0,0.0,0.0,25.92,0.0,25.92,65,5,8424.0,274.08,89075.99999999999,561696.2,280.8,EXPIRY,2025-06,2025
2025-11-10,2025-11-25,2025-11-25,27305.0,28400,26200,28700,25900,29.95,30.82,21.6,25.65,0.0,0.0,0.0,0.0,13.52,0.0,13.52,65,5,4392.7,286.484,93107.29999999999,587973.75,294.0,EXPIRY,2025-11,2025
2026-01-09,2026-01-27,2026-01-27,27382.1,28500,26300,28800,26000,21.85,20.1,11.34,15.82,0.0,0.0,0.0,0.0,14.79,0.0,14.79,60,5,4437.0,285.21,85563.0,550811.4,275.4,EXPIRY,2026-01,2026
2026-02-09,2026-02-24,2026-02-24,28154.0,29300,27050,29600,26750,23.41,39.84,17.82,34.34,0.0,0.0,0.0,0.0,11.09,0.0,11.09,60,5,3325.8,288.914,86674.2,559120.8,279.6,EXPIRY,2026-02,2026
