trade_idx,underlying,entry_date,expiry,date,leg,strike,close,volume,oi,num_trades,notional_lakh,traded_value_inr,avg_trade_inr,our_share_of_traded
0,FINNIFTY,2023-09-13,2023-09-26,2023-09-13,ce_short,21000,25.65,522,5040,,4389.89,535572.0,,0.0092
0,FINNIFTY,2023-09-13,2023-09-26,2023-09-13,pe_short,19800,35.3,326,6440,,2586.97,460312.0,,0.0147
0,FINNIFTY,2023-09-13,2023-09-26,2023-09-13,wce_long,21300,12.9,27,1160,,230.18,13932.0,,0.2
0,FINNIFTY,2023-09-13,2023-09-26,2023-09-13,wpe_long,19500,19.85,96,2400,,749.63,76224.0,,0.0563
0,FINNIFTY,2023-09-13,2023-09-26,2023-09-14,ce_short,21000,22.75,524,9720,,4406.33,476840.0,,0.0103
0,FINNIFTY,2023-09-13,2023-09-26,2023-09-14,pe_short,19800,25.15,203,7240,,1610.2,204218.0,,0.0332
0,FINNIFTY,2023-09-13,2023-09-26,2023-09-14,wce_long,21300,10.0,99,2600,,843.92,39600.0,,0.0704
0,FINNIFTY,2023-09-13,2023-09-26,2023-09-14,wpe_long,19500,13.25,279,4920,,2177.85,147870.0,,0.029
0,FINNIFTY,2023-09-13,2023-09-26,2023-09-15,ce_short,21000,24.25,7242,53960,,60907.85,7024740.0,,0.0007
0,FINNIFTY,2023-09-13,2023-09-26,2023-09-15,pe_short,19800,14.55,1995,30680,,15813.35,1161090.0,,0.0058
0,FINNIFTY,2023-09-13,2023-09-26,2023-09-15,wce_long,21300,10.75,1621,17000,,13817.78,697030.0,,0.004
0,FINNIFTY,2023-09-13,2023-09-26,2023-09-15,wpe_long,19500,8.7,985,24520,,7686.41,342780.0,,0.0125
0,FINNIFTY,2023-09-13,2023-09-26,2023-09-18,ce_short,21000,10.95,23442,271880,,197033.91,10267596.0,,0.0005
0,FINNIFTY,2023-09-13,2023-09-26,2023-09-18,pe_short,19800,11.85,9029,80920,,71551.14,4279746.0,,0.0016
0,FINNIFTY,2023-09-13,2023-09-26,2023-09-18,wce_long,21300,5.0,8836,112080,,75302.52,1767200.0,,0.0016
0,FINNIFTY,2023-09-13,2023-09-26,2023-09-18,wpe_long,19500,5.65,6699,78840,,52267.88,1513974.0,,0.0028
0,FINNIFTY,2023-09-13,2023-09-26,2023-09-20,ce_short,21000,3.6,102015,583240,,857142.9,14690160.0,,0.0003
0,FINNIFTY,2023-09-13,2023-09-26,2023-09-20,pe_short,19800,25.9,83873,311880,,665173.05,86892428.0,,0.0001
0,FINNIFTY,2023-09-13,2023-09-26,2023-09-20,wce_long,21300,2.65,28097,129640,,239426.51,2978282.0,,0.0009
0,FINNIFTY,2023-09-13,2023-09-26,2023-09-20,wpe_long,19500,7.4,82058,487000,,640356.09,24289168.0,,0.0002
0,FINNIFTY,2023-09-13,2023-09-26,2023-09-21,ce_short,21000,1.45,130261,1035680,,1094301.66,7555138.0,,0.0007
0,FINNIFTY,2023-09-13,2023-09-26,2023-09-21,pe_short,19800,74.9,714879,1028720,,5679175.57,2141777484.0,,0.0
