month,trades,pnl,wins,wr,mo_roi_pct,equity_end
2023-05,1,205332.9,1,100.0,102.66644999999998,405332.9
2023-06,1,-36940.2,0,0.0,-18.4701,368392.7
2023-07,1,24043.5,1,100.0,12.02175,392436.2
2023-08,1,136801.5,1,100.0,68.40075,529237.7
2023-09,1,102200.6,1,100.0,51.1003,631438.3
2023-10,1,-24859.1,0,0.0,-12.429549999999999,606579.2000000001
2023-11,1,22829.5,1,100.0,11.41475,629408.7000000001
2023-12,1,-85592.5,0,0.0,-42.79625,543816.2000000001
2024-01,1,105.1,1,100.0,0.05254999999999999,543921.3
2024-02,1,33132.3,1,100.0,16.56615,577053.6000000001
2024-03,1,17618.3,1,100.0,8.80915,594671.9
2024-04,1,32755.9,1,100.0,16.37795,627427.8
2024-05,1,16105.7,1,100.0,8.05285,643533.5
2024-06,1,-35951.2,0,0.0,-17.9756,607582.3
2024-07,1,69569.1,1,100.0,34.78455,677151.4
2024-08,1,40463.2,1,100.0,20.2316,717614.6000000001
2024-09,2,143686.75,2,100.0,71.843375,861301.3500000001
2024-11,1,91676.32,1,100.0,45.83816,952977.6700000002
2024-12,1,25328.71,1,100.0,12.664354999999999,978306.3800000001
2025-01,1,30087.36,1,100.0,15.04368,1008393.7400000001
2025-02,1,15855.61,1,100.0,7.927805,1024249.3500000001
2025-03,1,-40348.75,0,0.0,-20.174375,983900.6000000001
2025-04,1,-71925.43,0,0.0,-35.962714999999996,911975.1700000002
2025-05,1,26975.65,1,100.0,13.487825,938950.8200000002
2025-06,2,286247.97000000003,2,100.0,143.123985,1225198.7900000003
2025-08,1,143654.22,1,100.0,71.82711,1368853.0100000002
2025-09,1,1174.55,1,100.0,0.587275,1370027.5600000003
2025-10,1,-73893.95,0,0.0,-36.946975,1296133.6100000003
2025-11,1,328656.41,1,100.0,164.32820499999997,1624790.0200000003
2025-12,1,3083.44,1,100.0,1.54172,1627873.4600000002
2026-02,1,-76840.8,0,0.0,-38.4204,1551032.6600000001
2026-04,1,584003.7,1,100.0,292.00185,2135036.3600000003
2026-05,1,44651.85,1,100.0,22.325924999999998,2179688.21
