trade_idx,underlying,entry_date,expiry,date,leg,strike,close,volume,oi,num_trades,notional_lakh,traded_value_inr,avg_trade_inr,our_share_of_traded
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-13,ce_short,21600,59.0,37,720,,320.59,87320.0,,0.1324
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-13,pe_short,20750,81.95,1,160,,8.33,3278.0,,4.9
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-13,wce_long,21900,19.2,4,1320,,35.07,3072.0,,1.3
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-13,wpe_long,20450,10.0,5,40,,40.95,2000.0,,1.04
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-14,ce_short,21600,172.3,948,7920,,8254.62,6533616.0,,0.0018
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-14,pe_short,20750,81.95,0,160,,,,,
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-14,wce_long,21900,19.2,0,1320,,,,,
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-14,wpe_long,20450,10.0,0,40,,,,,
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-15,ce_short,21600,173.6,2286,18320,,19889.19,15873984.0,,0.0007
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-15,pe_short,20750,12.35,56,120,,465.07,27664.0,,0.5806
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-15,wce_long,21900,65.05,111,1240,,974.97,288822.0,,0.0138
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-15,wpe_long,20450,10.0,0,40,,,,,
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-18,ce_short,21600,106.2,6305,59640,,54795.07,26783640.0,,0.0004
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-18,pe_short,20750,15.35,70,520,,581.39,42980.0,,0.3737
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-18,wce_long,21900,29.1,3338,39880,,29292.2,3885432.0,,0.001
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-18,wpe_long,20450,10.0,0,40,,,,,
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-19,ce_short,21600,92.0,30920,149360,,268282.78,113785600.0,,0.0001
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-19,pe_short,20750,8.35,1305,13160,,10836.48,435870.0,,0.0369
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-19,wce_long,21900,22.1,15814,178440,,138687.26,13979576.0,,0.0003
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-19,wpe_long,20450,5.45,688,8400,,5629.3,149984.0,,0.0139
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-20,ce_short,21600,26.25,257454,818440,,2231705.45,270326700.0,,0.0
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-20,pe_short,20750,36.5,29209,61360,,242666.5,42645140.0,,0.0004
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-20,wce_long,21900,10.45,113329,457080,,993627.66,47371522.0,,0.0001
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-20,wpe_long,20450,20.1,28762,158960,,235391.64,23124648.0,,0.0001
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-21,ce_short,21600,33.6,351610,1017360,,3041398.8,472563840.0,,0.0
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-21,pe_short,20750,7.15,127932,268760,,1062849.49,36588552.0,,0.0004
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-21,wce_long,21900,4.95,146530,699360,,1283977.98,29012940.0,,0.0001
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-21,wpe_long,20450,3.3,68613,149120,,561558.76,9056916.0,,0.0002
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-22,ce_short,21600,3.9,1181923,2093040,,10217920.08,184379988.0,,0.0001
