entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,margin_required_inr,margin_pct_of_capital,exit_reason,month,year
2023-05-17,2023-05-30,2023-05-30,19301.3,19700,18900,19850,18750,357.21,1155.47,252.04,381.02,0.0,0.0,0.0,0.0,879.62,0.0,879.62,40,5,175923.2,-729.6159999999999,-145923.19999999998,135867.4,67.9,EXPIRY,2023-05,2023
2023-06-20,2023-06-27,2023-06-27,19502.9,19900,19100,20050,18950,11.03,14.9,5.61,8.98,0.0,0.0,0.0,0.0,11.33,0.0,11.33,40,5,2267.0,138.665,27732.999999999996,262282.8,131.1,EXPIRY,2023-06,2023
2023-07-18,2023-07-25,2023-07-25,20262.6,20650,19850,20800,19700,46.65,34.69,28.56,22.64,0.0,0.0,0.0,0.0,30.14,0.0,30.14,40,5,6027.2,119.864,23972.800000000003,265159.2,132.6,EXPIRY,2023-07,2023
2023-08-17,2023-08-29,2023-08-29,19548.0,19950,19150,20100,19000,164.3,68.65,21.52,24.28,0.0,0.0,0.0,0.0,187.15,0.0,187.15,40,5,37429.6,-37.147999999999996,-7429.599999999999,256720.4,128.4,EXPIRY,2023-08,2023
2023-09-18,2023-09-21,2023-09-26,20408.2,20800,20000,20950,19850,23.18,21.36,13.06,13.87,1.65,187.3,1.45,96.45,17.61,92.87,-75.26,40,5,-15051.6,132.387,26477.399999999998,272054.4,136.0,SL,2023-09,2023
2023-10-16,2023-10-31,2023-10-31,19814.5,20200,19400,20350,19250,1233.43,57.33,251.48,202.72,0.0,195.4,0.0,45.4,836.55,153.0,683.55,40,5,136710.4,-686.5519999999998,-137310.39999999997,178438.8,89.2,EXPIRY,2023-10,2023
2023-11-15,2023-11-28,2023-11-28,19722.8,20100,19350,20250,19200,56.55,410.72,102.1,21.27,0.0,0.0,0.0,0.0,343.89,0.0,343.89,40,5,68779.0,-193.89499999999998,-38779.0,243586.2,121.8,EXPIRY,2023-11,2023
2023-12-15,2023-12-20,2023-12-26,21529.8,21950,21100,22100,20950,84.87,41.21,35.85,78.03,9.7,93.8,7.2,56.4,12.19,40.7,-28.5,40,5,-5700.8,137.806,27561.200000000004,269963.4,135.0,SL,2023-12,2023
2024-01-17,2024-01-30,2024-01-30,20528.9,20950,20100,21100,19950,162.73,142.69,127.5,59.21,0.0,0.0,0.0,0.0,118.71,0.0,118.71,40,5,23741.2,31.293999999999983,6258.7999999999965,241797.8,120.9,EXPIRY,2024-01,2024
2024-02-15,2024-02-27,2024-02-27,20416.2,20800,20000,20950,19850,409.59,92.71,209.71,201.5,0.0,0.0,0.0,0.0,91.09,0.0,91.09,40,5,18217.2,58.91399999999999,11782.799999999997,195197.4,97.6,EXPIRY,2024-02,2024
2024-03-15,2024-03-26,2024-03-26,20644.3,21050,20250,21200,20100,136.22,234.81,47.18,37.54,0.0,0.0,0.0,0.0,286.32,0.0,286.32,40,5,57263.4,-136.317,-27263.4,263897.8,131.9,EXPIRY,2024-03,2024
2024-04-15,2024-04-30,2024-04-30,21146.0,21550,20700,21700,20550,196.59,760.58,287.69,327.27,291.15,0.0,141.15,0.0,342.21,153.0,189.21,40,5,37841.6,-192.20799999999986,-38441.59999999997,164308.4,82.2,EXPIRY,2024-04,2024
2024-05-16,2024-05-28,2024-05-28,21416.1,21850,21000,22000,20850,362.26,68.45,49.32,77.72,132.15,0.0,0.0,0.0,303.67,134.79,168.88,40,5,33775.2,-153.66899999999993,-30733.79999999998,265971.8,133.0,EXPIRY,2024-05,2024
2024-06-19,2024-06-25,2024-06-25,22944.0,23400,22500,23550,22350,34.2,41.36,21.42,27.8,95.4,0.15,0.5,0.1,26.34,96.85,-70.51,40,5,-14101.2,123.65700000000001,24731.4,302277.0,151.1,SL,2024-06,2024
2024-07-15,2024-07-19,2024-07-30,23691.8,24150,23200,24300,23050,416.6,235.44,171.87,363.88,425.1,240.25,160.0,149.0,116.29,363.48,-247.19,40,5,-49437.8,33.71199999999999,6742.399999999998,214829.0,107.4,SL,2024-07,2024
2024-08-16,2024-08-27,2024-08-27,22976.2,23450,22500,23600,22350,536.35,69.43,48.04,151.27,128.8,0.0,0.0,0.0,406.48,131.38,275.1,40,5,55020.6,-256.4789999999999,-51295.79999999998,272598.4,136.3,EXPIRY,2024-08,2024
