entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,margin_required_inr,margin_pct_of_capital,exit_reason,month,year
2024-12-09,2024-12-09,2024-12-31,24722.6,25700,23750,25850,23600,74.01,87.95,66.26,85.16,80.45,95.6,61.35,78.85,10.55,38.72,-28.17,65,5,-9154.6,139.45,45321.25,497212.3,248.6,SL,2024-12,2024
2025-01-08,2025-01-08,2025-01-28,23236.0,24150,22300,24300,22150,100.42,63.53,90.18,61.88,109.15,69.05,83.5,57.3,11.88,40.39,-28.51,65,5,-9266.4,138.12,44889.0,463851.7,231.9,SL,2025-01,2025
2025-02-10,2025-02-25,2025-02-25,23400.3,24350,22450,24500,22300,67.57,53.73,50.87,42.23,0.0,0.0,0.0,0.0,28.21,0.0,28.21,65,5,9166.95,121.79399999999998,39583.049999999996,486883.8,243.4,EXPIRY,2025-02,2025
2025-03-10,2025-03-18,2025-03-25,23056.8,24000,22150,24150,22000,31.23,44.48,26.46,42.07,203.6,3.95,152.25,3.75,7.19,55.67,-48.48,65,5,-15757.3,142.81,46413.25,487686.55,243.8,SL,2025-03,2025
2025-04-08,2025-04-11,2025-04-24,24301.5,25250,23350,25400,23200,129.58,170.2,119.66,154.12,135.75,185.0,99.95,77.3,26.0,154.98,-128.98,65,5,-41917.85,123.99799999999993,40299.34999999998,448051.5,224.0,SL,2025-04,2025
2025-05-08,2025-05-08,2025-05-29,25980.7,27000,24950,27150,24800,101.43,174.57,89.8,183.76,110.25,189.75,83.15,170.15,2.44,50.44,-48.0,65,5,-15600.0,147.56400000000002,47958.30000000001,485139.2,242.6,SL,2025-05,2025
2025-06-12,2025-06-26,2025-06-26,26579.9,27650,25500,27800,25350,56.58,35.47,35.48,24.35,0.0,0.0,0.0,0.0,32.21,0.0,32.21,65,5,10469.55,117.786,38280.450000000004,567862.1,283.9,EXPIRY,2025-06,2025
2025-07-14,2025-07-14,2025-07-31,26802.2,27850,25750,28000,25600,34.78,29.81,31.27,29.27,37.8,32.4,28.95,27.1,4.05,15.28,-11.23,65,5,-3650.4,145.95,47433.75,572606.45,286.3,SL,2025-07,2025
2025-11-14,2025-11-25,2025-11-25,27491.8,28600,26400,28750,26250,14.9,21.16,12.74,20.47,0.0,0.0,0.0,0.0,2.85,0.0,2.85,65,5,927.55,147.14600000000002,47822.450000000004,596956.75,298.5,EXPIRY,2025-11,2025
2026-01-09,2026-01-27,2026-01-27,27382.1,28500,26300,28650,26150,21.85,20.1,17.66,20.36,0.0,0.0,0.0,0.0,3.94,0.0,3.94,60,5,1180.8,146.064,43819.2,547555.2,273.8,EXPIRY,2026-01,2026
2026-05-08,2026-05-26,2026-05-26,26011.5,27050,24950,27200,24800,120.38,118.68,106.38,104.65,0.0,0.0,0.0,0.0,28.03,0.0,28.03,60,5,8409.0,121.97000000000003,36591.00000000001,467090.4,233.5,EXPIRY,2026-05,2026
