trade_idx,underlying,entry_date,expiry,date,leg,strike,close,volume,oi
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-09,ce_short,19800,534.25,0,80
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-09,pe_short,19000,40.1,63,1160
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-09,wce_long,19950,238.6,0,40
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-09,wpe_long,18850,156.7,0,0
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-12,ce_short,19800,534.25,0,80
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-12,pe_short,19000,40.1,0,1160
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-12,wce_long,19950,238.6,0,40
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-12,wpe_long,18850,156.7,0,0
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-13,ce_short,19800,534.25,0,80
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-13,pe_short,19000,40.1,0,1160
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-13,wce_long,19950,238.6,0,40
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-13,wpe_long,18850,156.7,0,0
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-14,ce_short,19800,534.25,0,80
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-14,pe_short,19000,40.1,0,1160
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-14,wce_long,19950,238.6,0,40
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-14,wpe_long,18850,156.7,0,0
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-15,ce_short,19800,52.65,4,240
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-15,pe_short,19000,63.65,21,1480
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-15,wce_long,19950,238.6,0,40
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-15,wpe_long,18850,156.7,0,0
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-16,ce_short,19800,33.4,1458,12960
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-16,pe_short,19000,19.8,2157,34040
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-16,wce_long,19950,238.6,0,40
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-16,wpe_long,18850,156.7,0,0
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-19,ce_short,19800,20.0,6127,59080
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-19,pe_short,19000,19.9,18172,110200
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-19,wce_long,19950,238.6,0,40
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-19,wpe_long,18850,156.7,0,0
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-20,ce_short,19800,20.6,21265,111000
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-20,pe_short,19000,10.5,32908,192800
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-20,wce_long,19950,8.55,4213,15120
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-20,wpe_long,18850,6.65,3195,15320
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-21,ce_short,19800,46.35,255704,580640
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-21,pe_short,19000,9.3,107996,777320
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-21,wce_long,19950,15.7,95912,248120
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-21,wpe_long,18850,6.3,19522,128520
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-22,ce_short,19800,23.65,418929,1137040
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-22,pe_short,19000,4.6,174791,1483480
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-22,wce_long,19950,5.7,264603,915480
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-22,wpe_long,18850,3.05,36164,190920
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-23,ce_short,19800,5.45,1524749,2941040
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-23,pe_short,19000,2.55,432917,2521280
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-23,wce_long,19950,2.0,721948,742120
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-23,wpe_long,18850,1.35,94964,335920
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-26,ce_short,19800,1.6,1399978,2968560
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-26,pe_short,19000,1.25,725158,2898080
0,FINNIFTY,2023-06-09,2023-06-27,2023-06-26,wce_long,19950,1.15,291066,675600
