entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,margin_required_inr,margin_pct_of_capital,exit_reason,month,year
2023-06-02,2023-06-27,2023-06-27,19368.2,19750,19000,19900,18850,447.52,88.4,234.5,159.83,38.5,0.0,0.0,0.0,141.58,39.27,102.31,40,5,20462.2,8.418999999999983,1683.7999999999965,184633.6,92.3,EXPIRY,2023-06,2023
2023-07-03,2023-07-25,2023-07-25,20253.8,20650,19850,20800,19700,183.85,429.14,349.55,80.63,0.0,0.0,0.0,0.0,182.81,0.0,182.81,40,5,36561.0,-32.805000000000064,-6561.000000000013,189363.0,94.7,EXPIRY,2023-07,2023
2023-08-01,2023-08-11,2023-08-29,20327.2,20750,19900,20900,19750,473.05,223.78,500.0,180.23,482.7,245.9,490.2,178.3,16.59,61.3,-44.71,40,5,-8942.2,133.4090000000001,26681.80000000002,140372.4,70.2,SL,2023-08,2023
2023-09-04,2023-09-26,2023-09-26,19787.6,20200,19400,20350,19250,789.24,490.64,254.75,177.17,0.0,0.0,0.0,0.0,847.96,0.0,847.96,40,5,169592.2,-697.9610000000001,-139592.20000000004,182896.2,91.4,EXPIRY,2023-09,2023
2023-10-06,2023-10-31,2023-10-31,19818.2,20200,19400,20350,19250,1233.43,74.72,251.48,202.72,0.0,195.4,0.0,45.4,853.95,153.0,700.95,40,5,140189.4,-703.9469999999998,-140789.39999999997,178438.8,89.2,EXPIRY,2023-10,2023
2023-11-01,2023-11-28,2023-11-28,19144.6,19550,18750,19700,18600,286.55,171.94,122.4,49.93,152.7,0.0,2.7,0.0,286.16,153.0,133.16,40,5,26632.8,-136.16399999999993,-27232.79999999999,225974.2,113.0,EXPIRY,2023-11,2023
2023-12-01,2023-12-26,2023-12-26,20211.0,20600,19800,20750,19650,120.83,172.87,122.5,102.0,661.7,0.0,511.7,0.0,69.2,153.0,-83.8,40,5,-16759.2,80.79599999999999,16159.199999999999,229819.6,114.9,EXPIRY,2023-12,2023
2024-01-02,2024-01-30,2024-01-30,21346.2,21750,20900,21900,20750,324.62,1552.61,297.89,217.46,0.0,614.5,0.0,464.5,1361.88,153.0,1208.88,40,5,241776.8,-1211.884,-242376.8,186949.0,93.5,EXPIRY,2024-01,2024
2024-02-01,2024-02-16,2024-02-27,20516.7,20950,20100,21100,19950,201.49,715.64,662.34,234.6,205.6,96.15,40.0,82.0,20.2,183.34,-163.15,40,5,-32629.8,129.80399999999997,25960.799999999996,99752.6,49.9,SL,2024-02,2024
2024-03-05,2024-03-07,2024-03-26,20854.5,21250,20450,21400,20300,191.34,142.34,171.41,155.04,195.25,145.25,165.5,152.0,7.24,23.46,-16.22,40,5,-3244.2,142.76100000000002,28552.200000000004,218269.8,109.1,SL,2024-03,2024
