entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,margin_required_inr,margin_pct_of_capital,exit_reason,month,year
2024-12-09,2024-12-30,2024-12-31,24722.6,25450,24000,25650,23800,125.38,128.02,94.02,106.6,0.35,388.2,0.35,211.75,52.78,183.51,-130.73,65,5,-42487.9,147.22400000000002,47847.80000000001,481222.3,240.6,SL,2024-12,2024
2025-01-08,2025-01-28,2025-01-28,23236.0,23950,22550,24150,22350,148.03,103.97,113.52,79.4,0.0,0.0,0.0,0.0,59.08,0.0,59.08,65,5,19201.0,140.92000000000004,45799.000000000015,451126.0,225.6,EXPIRY,2025-01,2025
2025-02-10,2025-02-25,2025-02-25,23400.3,24100,22700,24300,22500,109.97,82.99,76.39,60.74,0.0,0.0,0.0,0.0,55.84,0.0,55.84,65,5,18146.7,144.16400000000002,46853.3,472574.7,236.3,EXPIRY,2025-02,2025
2025-03-10,2025-03-20,2025-03-25,23056.8,23750,22350,23950,22150,58.51,68.26,47.42,50.28,566.15,2.6,474.35,2.55,29.06,95.52,-66.46,65,5,-21600.8,170.94000000000003,55555.50000000001,477649.9,238.8,SL,2025-03,2025
2025-04-08,2025-04-15,2025-04-24,24301.5,25050,23550,25250,23350,183.36,186.05,146.48,192.4,398.7,26.0,285.1,29.75,30.52,114.24,-83.72,65,5,-27209.0,169.476,55079.7,426892.7,213.4,SL,2025-04,2025
2025-05-08,2025-05-29,2025-05-29,25980.7,26750,25200,26950,25000,152.5,238.13,125.94,217.78,0.0,0.0,0.0,0.0,46.9,0.0,46.9,65,5,15243.8,153.096,49756.200000000004,462338.5,231.2,EXPIRY,2025-05,2025
2025-06-09,2025-06-26,2025-06-26,26992.8,27800,26200,28000,26000,108.29,100.8,80.65,82.11,0.0,0.0,0.0,0.0,46.33,0.0,46.33,65,5,15056.6,153.672,49943.4,543803.0,271.9,EXPIRY,2025-06,2025
2025-07-08,2025-07-31,2025-07-31,27016.8,27850,26200,28050,26000,93.7,79.34,68.43,63.02,0.0,0.0,0.0,0.0,41.58,0.0,41.58,65,5,13514.8,158.416,51485.2,554529.3,277.3,EXPIRY,2025-07,2025
2025-10-14,2025-10-28,2025-10-28,26828.3,27650,26000,27850,25800,40.66,43.87,23.3,34.42,0.0,0.0,0.0,0.0,26.81,0.0,26.81,65,5,8712.6,173.192,56287.4,574073.5,287.0,EXPIRY,2025-10,2025
2025-11-10,2025-11-25,2025-11-25,27305.0,28100,26500,28300,26300,64.37,52.42,43.06,40.46,0.0,0.0,0.0,0.0,33.27,0.0,33.27,65,5,10813.4,166.728,54186.600000000006,576188.6,288.1,EXPIRY,2025-11,2025
2025-12-09,2025-12-30,2025-12-30,27549.8,28400,26700,28600,26500,65.14,41.42,43.42,30.52,0.0,0.0,0.0,0.0,32.62,0.0,32.62,65,5,10600.2,167.38400000000001,54399.8,584823.2,292.4,EXPIRY,2025-12,2025
2026-02-09,2026-02-24,2026-02-24,28154.0,29000,27300,29200,27100,43.78,58.32,31.72,48.05,0.0,0.0,0.0,0.0,22.33,0.0,22.33,60,5,6698.4,177.672,53301.6,550329.6,275.2,EXPIRY,2026-02,2026
2026-05-08,2026-05-13,2026-05-26,26011.5,26800,25250,27000,25050,176.45,159.94,140.14,148.98,46.7,358.3,35.95,222.85,47.26,152.05,-104.78,60,5,-31435.2,152.736,45820.799999999996,444174.0,222.1,SL,2026-05,2026
