entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,margin_required_inr,margin_pct_of_capital,exit_reason,month,year
2023-07-13,2023-07-13,2023-07-25,20021.5,20400,19600,20600,19400,51.99,36.46,65.28,21.62,53.05,37.2,64.0,21.2,1.54,5.15,-3.61,40,5,-722.0,198.459,39691.8,254619.2,127.3,SL,2023-07,2023
2023-09-13,2023-09-22,2023-09-26,20386.8,20800,20000,21000,19800,51.55,59.63,26.16,36.01,1.4,267.85,1.25,109.3,49.01,161.87,-112.86,40,5,-22572.4,150.988,30197.600000000002,265006.2,132.5,SL,2023-09,2023
2024-03-12,2024-03-26,2024-03-26,20897.5,21300,20500,21500,20300,112.7,98.0,66.1,57.63,0.0,0.0,0.0,0.0,86.97,0.0,86.97,40,5,17394.8,113.02600000000001,22605.200000000004,259494.8,129.7,EXPIRY,2024-03,2024
2024-12-09,2024-12-31,2024-12-31,24722.6,25200,24250,25400,24050,196.39,181.84,144.13,144.38,0.0,737.2,0.0,537.2,89.72,204.0,-114.28,65,5,-37139.7,110.27600000000001,35839.700000000004,452657.72,226.3,EXPIRY,2024-12,2024
2025-01-08,2025-01-28,2025-01-28,23236.0,23700,22750,23900,22550,227.65,150.09,171.82,110.47,0.0,0.0,0.0,0.0,95.46,0.0,95.46,65,5,31023.2,104.54399999999998,33976.799999999996,421529.88,210.8,EXPIRY,2025-01,2025
2025-02-10,2025-02-25,2025-02-25,23400.3,23850,22950,24050,22750,168.85,145.48,116.84,88.18,0.0,0.0,0.0,0.0,109.32,0.0,109.32,65,5,35527.38,90.68499999999995,29472.62499999998,450508.5,225.3,EXPIRY,2025-02,2025
2025-03-10,2025-03-25,2025-03-25,23056.8,23500,22600,23700,22400,133.08,129.41,80.58,90.32,1586.0,0.0,1386.0,0.0,91.59,204.0,-112.41,65,5,-36532.6,108.40799999999996,35232.599999999984,453862.17,226.9,EXPIRY,2025-03,2025
2025-04-08,2025-04-24,2025-04-24,24301.5,24800,23800,25000,23600,274.35,243.63,212.52,208.64,1655.05,0.2,1314.15,0.35,96.82,347.56,-250.74,65,5,-81491.8,103.17899999999997,33533.17499999999,400153.65,200.1,SL,2025-04,2025
2025-05-08,2025-05-29,2025-05-29,25980.7,26500,25450,26700,25250,230.64,297.97,181.1,271.32,0.0,0.0,0.0,0.0,76.19,0.0,76.19,65,5,24762.07,123.80900000000008,40237.925000000025,427010.67,213.5,EXPIRY,2025-05,2025
2025-06-09,2025-06-26,2025-06-26,26992.8,27550,26450,27750,26250,168.66,150.09,126.68,117.1,0.0,0.0,0.0,0.0,74.96,0.0,74.96,65,5,24363.62,125.03500000000003,40636.375000000015,517471.5,258.7,EXPIRY,2025-06,2025
2025-09-12,2025-09-30,2025-09-30,26363.2,26900,25850,27100,25650,67.77,60.02,38.25,40.04,0.0,0.0,0.0,0.0,49.51,0.0,49.51,65,5,16089.78,150.493,48910.22499999999,557444.88,278.7,EXPIRY,2025-09,2025
2025-10-14,2025-10-28,2025-10-28,26828.3,27350,26300,27550,26100,87.95,80.07,52.68,55.23,103.95,0.0,0.0,0.0,60.11,106.03,-45.92,65,5,-14925.3,139.89499999999998,45465.87499999999,557759.8,278.9,EXPIRY,2025-10,2025
2025-11-12,2025-11-25,2025-11-25,27337.3,27900,26800,28100,26600,87.02,70.22,52.89,49.11,0.0,0.0,0.0,0.0,55.24,0.0,55.24,65,5,17953.32,144.75900000000001,47046.675,571285.0,285.6,EXPIRY,2025-11,2025
2025-12-09,2025-12-30,2025-12-30,27549.8,28100,27000,28300,26800,136.66,76.73,90.53,52.38,0.0,0.0,0.0,0.0,70.49,0.0,70.49,65,5,22910.22,129.50700000000003,42089.775000000016,562411.85,281.2,EXPIRY,2025-12,2025
2026-01-12,2026-01-27,2026-01-27,27518.5,28050,26950,28250,26750,92.71,76.88,54.77,40.09,0.0,0.0,0.0,0.0,74.73,0.0,74.73,60,5,22418.7,125.271,37581.3,532542.0,266.3,EXPIRY,2026-01,2026
2026-02-09,2026-02-24,2026-02-24,28154.0,28700,27600,28900,27400,89.13,97.22,59.87,73.08,0.0,0.0,0.0,0.0,53.39,0.0,53.39,60,5,16017.0,146.61000000000004,43983.000000000015,534372.9,267.2,EXPIRY,2026-02,2026
2026-05-08,2026-05-26,2026-05-26,26011.5,26550,25500,26750,25300,278.81,228.73,208.84,184.67,0.0,0.0,0.0,0.0,114.03,0.0,114.03,60,5,34207.8,85.97399999999999,25792.199999999997,412855.2,206.4,EXPIRY,2026-05,2026
