Case: /app/exports/backtests/multiyear_n50/nifty50_ema_9_21_2025_2026
Capital: INR 1,000,000

 Max   Taken    Skip         Final     ROI%   MaxDD%  OpenEnd
------------------------------------------------------------------------
   1     114    2819       970,807    -2.92    24.74        1
   2     213    2720       929,028    -7.10    26.44        2
   3     316    2617       966,772    -3.32    21.51        3
   5     486    2447     1,044,729    +4.47    15.92        5
   8     777    2156     1,019,261    +1.93    14.91        8
  10     957    1976     1,080,881    +8.09    13.23       10
  20    1719    1214     1,072,287    +7.23    12.59       19
  30    2327     606     1,113,434   +11.34     9.90       26
  50    2861      72     1,101,751   +10.18     6.27       35
