Case: /app/exports/backtests/multiyear_n50/nifty50_ema_200_400_2023_2024
Capital: INR 1,000,000

 Max   Taken    Skip         Final     ROI%   MaxDD%  OpenEnd
------------------------------------------------------------------------
   1      85    1045     2,259,449  +125.94    16.91        1
   2     179     951     1,981,301   +98.13    13.06        2
   3     249     881     1,721,940   +72.19    18.07        3
   5     393     737     1,630,043   +63.00    16.07        4
   8     608     522     1,427,033   +42.70    10.15        6
  10     714     416     1,292,423   +29.24    11.41        8
  20    1039      91     1,083,225    +8.32    10.92       10
  30    1100      30     1,068,232    +6.82     8.23       10
  50    1130       0     1,048,879    +4.89     5.17       10
