Date,Open,High,Low,Close,Volume
2024-01-01 04:00:00,53.95,54.5,53.0,53.35,3444701.0
2024-01-02 04:00:00,53.6,53.6,52.1,52.85,2842428.0
2024-01-03 04:00:00,52.85,53.7,52.75,53.25,3225103.0
2024-01-04 04:00:00,54.05,59.6,53.75,57.6,39366693.0
2024-01-05 04:00:00,60.3,60.6,56.9,58.9,22420239.0
2024-01-08 04:00:00,59.5,59.65,56.85,57.2,6320362.0
2024-01-09 04:00:00,57.65,57.8,55.7,56.05,3856779.0
2024-01-10 04:00:00,56.35,58.9,55.5,58.1,8496051.0
2024-01-11 04:00:00,58.85,61.4,58.0,59.05,13329318.0
2024-01-12 04:00:00,59.8,65.0,59.2,62.75,39851760.0
2024-01-15 04:00:00,64.0,64.85,60.85,61.75,10683588.0
2024-01-16 04:00:00,61.75,63.3,60.1,61.1,7168470.0
2024-01-17 04:00:00,61.0,61.45,59.35,59.85,5110374.0
2024-01-18 04:00:00,59.65,61.4,57.35,60.95,6798983.0
2024-01-19 04:00:00,61.0,61.8,58.85,59.4,5969336.0
2024-01-20 04:00:00,59.85,61.3,59.5,60.75,3696909.0
2024-01-23 04:00:00,61.45,62.1,58.2,58.8,6467658.0
2024-01-24 04:00:00,57.85,59.05,57.6,58.6,5072564.0
2024-01-25 04:00:00,58.95,59.15,57.85,58.15,3263099.0
2024-01-29 04:00:00,59.55,61.45,58.25,58.5,10836241.0
2024-01-30 04:00:00,59.0,59.2,56.85,57.7,6858303.0
2024-01-31 04:00:00,57.95,58.2,57.3,57.5,3077430.0
2024-02-01 04:00:00,57.5,58.15,56.6,57.25,4119145.0
2024-02-02 04:00:00,57.15,61.05,57.15,59.25,14441233.0
2024-02-05 04:00:00,59.25,62.0,59.2,60.1,10450414.0
2024-02-06 04:00:00,60.5,62.4,60.3,60.65,9583698.0
2024-02-07 04:00:00,62.0,62.0,60.45,61.45,6701084.0
2024-02-08 04:00:00,62.0,68.3,62.0,64.5,40454743.0
2024-02-09 04:00:00,64.4,66.45,60.25,62.1,21512479.0
2024-02-12 04:00:00,62.5,62.55,57.2,57.6,9685815.0
2024-02-13 04:00:00,57.45,58.5,55.8,58.1,5527055.0
2024-02-14 04:00:00,57.6,58.75,56.8,58.55,2940278.0
2024-02-15 04:00:00,59.0,59.7,55.15,56.3,11149696.0
2024-02-16 04:00:00,56.75,57.2,56.35,56.55,4581171.0
2024-02-19 04:00:00,58.0,58.0,55.6,55.7,4299278.0
2024-02-20 04:00:00,55.85,56.6,53.5,55.25,6125804.0
2024-02-21 04:00:00,55.5,55.95,54.1,54.45,3256518.0
2024-02-22 04:00:00,54.25,55.4,53.6,55.2,3167005.0
2024-02-23 04:00:00,55.65,55.8,54.3,54.55,3979772.0
2024-02-26 04:00:00,54.55,54.85,53.65,53.75,2520232.0
2024-02-27 04:00:00,53.95,54.3,52.3,52.5,4746086.0
2024-02-28 04:00:00,52.7,53.25,50.7,51.15,4258671.0
2024-02-29 04:00:00,51.3,52.6,50.6,52.2,3748624.0
2024-03-01 04:00:00,52.2,52.95,52.2,52.75,1929976.0
2024-03-02 04:00:00,53.0,53.35,52.75,53.0,483994.0
2024-03-04 04:00:00,53.05,53.05,51.65,51.9,1626451.0
2024-03-05 04:00:00,51.9,52.2,50.9,51.75,2545873.0
2024-03-06 04:00:00,51.3,51.6,49.0,49.6,5283472.0
2024-03-07 04:00:00,50.05,51.5,49.4,49.75,4210645.0
2024-03-11 04:00:00,51.5,51.6,49.4,50.6,3893399.0
2024-03-12 04:00:00,51.05,51.05,48.75,49.0,3628943.0
2024-03-13 04:00:00,48.05,49.1,45.05,45.75,5661766.0
2024-03-14 04:00:00,45.45,48.55,44.85,48.3,3954644.0
2024-03-15 04:00:00,48.0,49.5,47.7,49.05,4136794.0
2024-03-18 04:00:00,49.05,49.95,48.6,49.3,2437824.0
2024-03-19 04:00:00,49.25,49.75,48.3,48.65,1295522.0
2024-03-20 04:00:00,48.7,49.1,47.5,47.75,1953051.0
2024-03-21 04:00:00,48.15,48.9,48.15,48.35,1620225.0
2024-03-22 04:00:00,48.35,49.7,48.35,49.25,2106879.0
2024-03-26 04:00:00,50.6,50.6,48.65,48.85,5272575.0
2024-03-27 04:00:00,49.05,49.5,45.95,46.3,7891505.0
2024-03-28 04:00:00,46.9,47.45,46.8,47.0,3106722.0
2024-04-01 04:00:00,47.95,49.65,47.55,49.35,3301640.0
2024-04-02 04:00:00,50.0,50.6,49.3,50.45,3414303.0
2024-04-03 04:00:00,50.6,51.8,49.85,51.6,3214982.0
2024-04-04 04:00:00,51.7,53.0,51.65,52.65,4539108.0
2024-04-05 04:00:00,52.5,53.25,51.85,53.1,3631854.0
2024-04-08 04:00:00,54.5,55.15,53.6,53.9,5840887.0
2024-04-09 04:00:00,54.0,54.35,53.1,53.9,3033966.0
2024-04-10 04:00:00,53.9,54.0,53.0,53.1,1867864.0
2024-04-12 04:00:00,53.0,53.7,52.5,53.5,3061002.0
2024-04-15 04:00:00,51.0,54.0,50.35,53.45,5087946.0
2024-04-16 04:00:00,53.4,53.5,49.65,50.35,17342284.0
2024-04-18 04:00:00,51.75,52.85,51.2,52.55,7046617.0
2024-04-19 04:00:00,51.6,55.8,50.85,54.95,11139421.0
2024-04-22 04:00:00,55.95,57.8,54.8,56.8,8874387.0
2024-04-23 04:00:00,57.05,58.75,56.9,57.85,7572363.0
2024-04-24 04:00:00,58.2,61.4,58.2,59.25,16266757.0
2024-04-25 04:00:00,59.45,60.7,56.95,58.95,17033625.0
2024-04-26 04:00:00,59.6,60.7,59.0,59.6,9161509.0
2024-04-29 04:00:00,61.7,61.7,58.0,58.3,12996411.0
2024-04-30 04:00:00,58.7,58.95,57.0,57.15,4121377.0
2024-05-02 04:00:00,57.35,57.6,56.2,56.9,3349945.0
2024-05-03 04:00:00,57.15,57.45,55.4,55.85,3165451.0
2024-05-06 04:00:00,56.4,56.45,54.05,54.5,3609218.0
2024-05-07 04:00:00,54.45,54.65,52.5,53.3,2774340.0
2024-05-08 04:00:00,53.25,54.9,52.8,54.25,3187453.0
2024-05-09 04:00:00,54.5,54.8,52.5,52.7,1774713.0
2024-05-10 04:00:00,53.0,53.45,51.75,53.1,1925923.0
2024-05-13 04:00:00,53.6,53.65,51.6,53.0,2749579.0
2024-05-14 04:00:00,53.55,53.65,52.8,53.1,1284047.0
