symbol,close,mcap_cr,weight
ADANIENT,3197.1,83828.0,0.85
ADANIPORTS,1341.85,98552.0,1.0
APOLLOHOSP,6356.8,63981.0,0.65
ASIANPAINT,2846.75,128338.0,1.3
AXISBANK,1047.2,297312.0,3.02
BAJAJ-AUTO,9148.15,103623.0,1.05
BAJFINANCE,7245.25,201815.0,2.05
BAJAJFINSV,1643.85,89173.0,0.91
BPCL,602.4,57497.0,0.58
BHARTIARTL,1228.6,319601.0,3.25
BRITANNIA,4911.25,57965.0,0.59
CIPLA,1496.95,78558.0,0.8
COALINDIA,434.1,98984.0,1.01
DIVISLAB,3445.3,43902.0,0.45
DRREDDY,6157.9,74989.0,0.76
EICHERMOT,4019.3,55025.0,0.56
GRASIM,2287.3,84344.0,0.86
HCLTECH,1543.55,163358.0,1.66
HDFCBANK,1447.9,1088916.0,11.07
HDFCLIFE,633.35,66750.0,0.68
HEROMOTOCO,4722.3,61366.0,0.62
HINDALCO,560.25,81835.0,0.83
HINDUNILVR,2264.35,202171.0,2.05
ICICIBANK,1093.3,767657.0,7.8
ITC,428.35,379597.0,3.86
INDUSINDBK,1553.0,102737.0,1.04
INFY,1498.05,534746.0,5.44
JSWSTEEL,830.2,79178.0,0.8
KOTAKBANK,1785.5,262655.0,2.67
LTIM,4938.4,45340.0,0.46
LT,3763.9,444961.0,4.52
M&M,1921.35,183973.0,1.87
MARUTI,12600.35,166386.0,1.69
NTPC,335.8,159551.0,1.62
NESTLEIND,2622.35,93549.0,0.95
ONGC,268.05,104536.0,1.06
POWERGRID,276.9,126192.0,1.28
RELIANCE,2971.7,1005280.0,10.22
SBILIFE,1500.25,67604.0,0.69
SHRIRAMFIN,2359.8,65623.0,0.67
SBIN,752.35,288721.0,2.93
SUNPHARMA,1620.55,174971.0,1.78
TCS,3876.3,392694.0,3.99
TATACONSUM,1096.2,68937.0,0.7
TATAMOTORS,992.8,174864.0,1.78
TATASTEEL,155.85,128407.0,1.31
TECHM,1248.1,79225.0,0.81
TITAN,3801.8,158634.0,1.61
ULTRACEMCO,9749.15,112579.0,1.14
WIPRO,480.1,67730.0,0.69
