Case: /app/exports/backtests/multiyear_n50/nifty50_ema_9_21_2023_2024
Capital: INR 1,000,000

 Max   Taken    Skip         Final     ROI%   MaxDD%  OpenEnd
------------------------------------------------------------------------
   1     284    8950     1,661,895   +66.19    26.50        1
   2     554    8680       990,619    -0.94    39.20        2
   3     833    8401     1,116,405   +11.64    34.76        3
   5    1383    7851     1,344,414   +34.44    19.88        5
   8    2206    7028     1,292,025   +29.20    19.52        8
  10    2732    6502     1,320,810   +32.08    22.11       10
  20    5137    4097     1,356,697   +35.67    18.62       19
  30    7055    2179     1,457,362   +45.74    19.27       26
  50    8874     360     1,436,839   +43.68    14.67       35
