datetime,open,high,low,close,volume
2026-03-06 09:15:00+0530,1396.5,1415.7,1390.3,1414.6,2444227
2026-03-06 09:30:00+0530,1414.7,1419.5,1412.2,1415.2,1533892
2026-03-06 09:45:00+0530,1415,1417,1410.2,1411.9,526571
2026-03-06 10:00:00+0530,1411.9,1418.5,1409.8,1417.5,514609
2026-03-06 10:15:00+0530,1417.2,1424.3,1417.2,1422.5,768965
2026-03-06 10:30:00+0530,1422.5,1422.7,1418.1,1420.2,516892
2026-03-06 10:45:00+0530,1420.1,1420.2,1415.5,1417.5,625305
2026-03-06 11:00:00+0530,1417.6,1422.7,1415.8,1416.1,471027
2026-03-06 11:15:00+0530,1416.4,1418.4,1412,1415.5,692157
2026-03-06 11:30:00+0530,1415.1,1422,1415.1,1418.4,617719
2026-03-06 11:45:00+0530,1418.4,1421.9,1417.2,1417.6,650838
2026-03-06 12:00:00+0530,1418.2,1418.5,1414.2,1416,398158
2026-03-06 12:15:00+0530,1416.2,1416.3,1412.1,1413.9,962756
2026-03-06 12:30:00+0530,1413.7,1417.6,1413.7,1417.4,319869
2026-03-06 12:45:00+0530,1417.4,1420.1,1415.6,1419.6,529701
2026-03-06 13:00:00+0530,1419.6,1420.5,1416,1418.1,397285
2026-03-06 13:15:00+0530,1417.9,1419,1415.8,1417.8,457624
2026-03-06 13:30:00+0530,1417.8,1418.7,1413.1,1415.5,556976
2026-03-06 13:45:00+0530,1415.4,1415.7,1408.5,1408.6,1049838
2026-03-06 14:00:00+0530,1409.3,1414.9,1408,1411.6,985364
2026-03-06 14:15:00+0530,1411.6,1414.7,1411.4,1413.9,515301
2026-03-06 14:30:00+0530,1413.9,1417.2,1410.2,1410.8,534734
2026-03-06 14:45:00+0530,1410.8,1412.2,1402.2,1406.4,790314
2026-03-06 15:00:00+0530,1406.6,1407.8,1403.1,1404.7,1315744
2026-03-06 15:15:00+0530,1404.8,1409.7,1401,1407,968409
2026-03-09 09:15:00+0530,1375,1407,1370,1401.9,4635726
2026-03-09 09:30:00+0530,1401.8,1409,1395.4,1400.7,1792293
2026-03-09 09:45:00+0530,1400.4,1413.3,1398.2,1411.6,1224707
2026-03-09 10:00:00+0530,1411.6,1412,1401.2,1402,885028
2026-03-09 10:15:00+0530,1402,1403.2,1396.2,1398.6,821052
2026-03-09 10:30:00+0530,1398.6,1403.6,1397.3,1402.1,546902
2026-03-09 10:45:00+0530,1401.8,1402.5,1397.1,1399.9,586236
2026-03-09 11:00:00+0530,1400,1402.5,1393.4,1396,680765
2026-03-09 11:15:00+0530,1396,1398,1391,1397.1,656856
2026-03-09 11:30:00+0530,1396.9,1406,1395.7,1402.6,1279587
2026-03-09 11:45:00+0530,1402.7,1405.3,1400.8,1404,369092
2026-03-09 12:00:00+0530,1404.1,1404.1,1395.5,1398.9,468016
2026-03-09 12:15:00+0530,1398.9,1401.5,1398.4,1399.6,605311
2026-03-09 12:30:00+0530,1399.6,1399.9,1397,1399.8,359911
2026-03-09 12:45:00+0530,1399.7,1407,1399.2,1407,783077
2026-03-09 13:00:00+0530,1407,1407.9,1403.4,1403.7,990076
2026-03-09 13:15:00+0530,1403.7,1407.8,1402.3,1405.8,1120253
2026-03-09 13:30:00+0530,1405.8,1409.5,1405.3,1405.8,780609
2026-03-09 13:45:00+0530,1405.8,1408.8,1403.3,1407.7,492365
2026-03-09 14:00:00+0530,1407.8,1410.3,1405.8,1408.7,383217
2026-03-09 14:15:00+0530,1408.7,1412.4,1407.3,1411.4,498365
2026-03-09 14:30:00+0530,1411.3,1415,1410,1414.5,623095
2026-03-09 14:45:00+0530,1414.7,1421.9,1413.4,1420.9,922418
2026-03-09 15:00:00+0530,1420.9,1429.4,1419,1425,1741764
2026-03-09 15:15:00+0530,1425,1425,1418.6,1418.6,1064286
2026-03-10 09:15:00+0530,1430.6,1431.5,1400.6,1408.7,1426457
2026-03-10 09:30:00+0530,1408.9,1410.9,1402.6,1410.6,911966
2026-03-10 09:45:00+0530,1410.5,1412,1407.2,1411.5,482274
2026-03-10 10:00:00+0530,1411.5,1415,1411.2,1413.3,359782
2026-03-10 10:15:00+0530,1413.2,1417.7,1412.7,1414.3,372811
2026-03-10 10:30:00+0530,1414,1421,1414,1420,340321
2026-03-10 10:45:00+0530,1420.1,1420.8,1412.3,1416.4,299599
2026-03-10 11:00:00+0530,1416,1418.6,1414.3,1415,324744
2026-03-10 11:15:00+0530,1415.2,1418.5,1414.7,1416.2,569091
2026-03-10 11:30:00+0530,1416.6,1418.7,1416.5,1416.6,273458
2026-03-10 11:45:00+0530,1416.8,1416.9,1410,1412.4,317530
2026-03-10 12:00:00+0530,1412.3,1414.6,1410,1410,250220
2026-03-10 12:15:00+0530,1410.1,1411.5,1406.7,1410,483853
2026-03-10 12:30:00+0530,1410,1414.7,1407.2,1407.2,1210358
