datetime,open,high,low,close,volume
2026-03-06 09:15:00+0530,1303,1327.2,1303,1322.3,1175644
2026-03-06 09:30:00+0530,1322,1322.4,1316.1,1317.7,392466
2026-03-06 09:45:00+0530,1317.7,1319.4,1317.2,1318.3,157102
2026-03-06 10:00:00+0530,1318.6,1319.8,1317.8,1319,201303
2026-03-06 10:15:00+0530,1319.3,1320.6,1318.3,1320,230367
2026-03-06 10:30:00+0530,1320,1321,1315,1320,536495
2026-03-06 10:45:00+0530,1320.2,1320.2,1316.3,1317.7,248514
2026-03-06 11:00:00+0530,1317.7,1318.8,1316.2,1316.5,125455
2026-03-06 11:15:00+0530,1316.5,1316.5,1313,1313.8,187742
2026-03-06 11:30:00+0530,1313.7,1315.2,1312.7,1313,204491
2026-03-06 11:45:00+0530,1313,1315.6,1311.2,1314.2,252062
2026-03-06 12:00:00+0530,1314.2,1316.8,1312.5,1313,652517
2026-03-06 12:15:00+0530,1313,1315.6,1308.3,1309.1,336535
2026-03-06 12:30:00+0530,1309.5,1311.9,1308.8,1311.6,123252
2026-03-06 12:45:00+0530,1311.6,1312.7,1309.9,1311.2,91578
2026-03-06 13:00:00+0530,1311.2,1312.3,1307.5,1308,133946
2026-03-06 13:15:00+0530,1308,1309.3,1306.9,1307.7,284508
2026-03-06 13:30:00+0530,1307.7,1311.8,1307.2,1310.6,157830
2026-03-06 13:45:00+0530,1310.1,1310.7,1306.3,1306.8,310518
2026-03-06 14:00:00+0530,1306.8,1310.7,1305.4,1310.1,451440
2026-03-06 14:15:00+0530,1310.1,1314.4,1309.8,1311.8,248549
2026-03-06 14:30:00+0530,1312,1314.5,1311.2,1312.2,244033
2026-03-06 14:45:00+0530,1312.2,1313.5,1305.5,1309.4,522196
2026-03-06 15:00:00+0530,1309.7,1310.1,1306.7,1309.9,676842
2026-03-06 15:15:00+0530,1310,1312.4,1306.6,1311,692935
2026-03-09 09:15:00+0530,1290,1299.9,1282.5,1295,1296188
2026-03-09 09:30:00+0530,1295,1301,1288.1,1289.1,754132
2026-03-09 09:45:00+0530,1289.1,1294.8,1288.1,1291,272334
2026-03-09 10:00:00+0530,1291.4,1294.5,1290.3,1291.6,200090
2026-03-09 10:15:00+0530,1292.2,1296.3,1291.6,1293.5,197073
2026-03-09 10:30:00+0530,1293.5,1296,1291.2,1295.9,159913
2026-03-09 10:45:00+0530,1295.9,1302,1293.5,1297.5,382711
2026-03-09 11:00:00+0530,1297.3,1297.5,1293,1296.7,224574
2026-03-09 11:15:00+0530,1296.6,1303.3,1294.6,1300.8,462658
2026-03-09 11:30:00+0530,1300.3,1303.5,1297.9,1300.8,339642
2026-03-09 11:45:00+0530,1300.8,1304.8,1298.1,1298.9,371229
2026-03-09 12:00:00+0530,1298.9,1298.9,1294.1,1296.5,756416
2026-03-09 12:15:00+0530,1296.5,1299.5,1293.1,1299.4,423595
2026-03-09 12:30:00+0530,1299.4,1299.8,1296.1,1299.5,143249
2026-03-09 12:45:00+0530,1299.5,1299.9,1295.3,1299.6,197478
2026-03-09 13:00:00+0530,1299.4,1302.9,1299.1,1300.9,598697
2026-03-09 13:15:00+0530,1300.9,1302.6,1299.4,1300.7,357328
2026-03-09 13:30:00+0530,1300.6,1304.8,1300.3,1303.5,214652
2026-03-09 13:45:00+0530,1303.7,1304.1,1300,1301.9,159489
