symbol,start_date,end_date
360ONE,2024-02-07,2099-12-31
3MINDIA,2010-01-01,2099-12-31
8KMILES,2019-02-01,2022-10-09
AADHARHFC,2024-09-30,2099-12-31
AARTIDRUGS,2022-10-09,2024-03-28
AARTIIND,2010-01-01,2022-10-09
AARTIIND,2023-03-31,2099-12-31
AAVAS,2022-10-09,2099-12-31
ABB,2010-01-01,2099-12-31
ABBOTINDIA,2022-10-09,2099-12-31
ABCAPITAL,2010-01-01,2099-12-31
ABDL,2026-05-02,2099-12-31
ABFRL,2010-01-01,2099-12-31
ABLBL,2025-09-30,2099-12-31
ABREL,2025-06-16,2099-12-31
ABSLAMC,2022-03-31,2024-02-07
ABSLAMC,2024-09-30,2099-12-31
ACC,2010-01-01,2099-12-31
ACE,2024-03-28,2099-12-31
ACI,2023-03-31,2099-12-31
ACMESOLAR,2025-06-16,2099-12-31
ACUTAAS,2026-05-02,2099-12-31
ADANIENSOL,2024-02-07,2099-12-31
ADANIENT,2022-10-09,2099-12-31
ADANIGREEN,2019-02-01,2099-12-31
ADANIPORTS,2010-01-01,2099-12-31
ADANIPOWER,2010-01-01,2022-10-09
ADANIPOWER,2023-03-31,2099-12-31
ADANITRANS,2019-02-01,2024-02-07
ADVENZYMES,2010-01-01,2022-10-09
AEGISCHEM,2010-01-01,2025-06-16
AEGISLOG,2025-06-16,2099-12-31
AEGISVOPAK,2025-09-30,2099-12-31
AETHER,2022-10-09,2024-09-30
AFCONS,2025-06-16,2099-12-31
AFFLE,2022-10-09,2099-12-31
AGARWALEYE,2025-09-30,2099-12-31
AIAENG,2010-01-01,2099-12-31
AIIL,2025-06-16,2099-12-31
AJANTPHARM,2010-01-01,2099-12-31
AKUMS,2025-06-16,2026-05-02
AKZOINDIA,2010-01-01,2021-09-30
AKZOINDIA,2025-09-30,2099-12-31
ALBK,2010-01-01,2022-10-09
ALIVUS,2025-06-16,2025-09-30
ALKEM,2010-01-01,2099-12-31
ALKYLAMINE,2022-10-09,2026-05-02
ALLCARGO,2010-01-01,2024-09-30
ALOKINDS,2025-06-16,2026-05-02
AMARAJABAT,2010-01-01,2024-02-07
AMBER,2022-10-09,2099-12-31
AMBUJACEM,2010-01-01,2099-12-31
ANANDRATHI,2024-03-28,2099-12-31
ANANTRAJ,2024-09-30,2099-12-31
ANDHRABANK,2010-01-01,2022-10-09
ANGELBRKG,2021-03-31,2099-12-31
ANGELONE,2022-10-09,2099-12-31
ANTHEM,2026-05-02,2099-12-31
ANURAS,2021-09-30,2025-06-16
ANURAS,2026-05-02,2099-12-31
APARINDS,2023-03-31,2099-12-31
APLAPOLLO,2010-01-01,2099-12-31
APLLTD,2010-01-01,2026-05-02
APOLLOHOSP,2010-01-01,2099-12-31
APOLLOTYRE,2010-01-01,2099-12-31
APTUS,2022-03-31,2099-12-31
ARE&M,2024-02-07,2099-12-31
ASAHIINDIA,2021-03-31,2099-12-31
ASHOKA,2010-01-01,2022-03-31
