symbol,start_date,end_date
ABB,2024-09-30,2099-12-31
ABBOTINDIA,2021-03-31,2021-09-30
ACC,2021-03-31,2024-09-30
ADANIENSOL,2024-09-30,2099-12-31
ADANIENT,2021-03-31,2099-12-31
ADANIGREEN,2021-03-31,2099-12-31
ADANIPORTS,2021-03-31,2099-12-31
ADANIPOWER,2024-09-30,2099-12-31
ADANITRANS,2021-03-31,2024-09-30
ALKEM,2021-03-31,2021-09-30
AMBUJACEM,2021-03-31,2099-12-31
APOLLOHOSP,2021-03-31,2099-12-31
ASIANPAINT,2021-03-31,2099-12-31
ATGL,2024-09-30,2025-03-31
AUROPHARMA,2021-03-31,2022-03-31
AXISBANK,2021-03-31,2099-12-31
BAJAJ-AUTO,2021-03-31,2099-12-31
BAJAJFINSV,2021-03-31,2099-12-31
BAJAJHFL,2025-03-31,2026-03-31
BAJAJHLDNG,2021-03-31,2099-12-31
BAJFINANCE,2021-03-31,2099-12-31
BANDHANBNK,2021-03-31,2024-09-30
BANKBARODA,2021-09-30,2099-12-31
BEL,2024-09-30,2099-12-31
BERGEPAINT,2021-03-31,2024-09-30
BHARTIARTL,2021-03-31,2099-12-31
BHEL,2024-09-30,2025-03-31
BIOCON,2021-03-31,2024-09-30
BOSCHLTD,2021-03-31,2099-12-31
BPCL,2021-03-31,2099-12-31
BRITANNIA,2021-03-31,2099-12-31
CADILAHC,2021-03-31,2022-03-31
CANBK,2024-09-30,2099-12-31
CGPOWER,2025-03-31,2099-12-31
CHOLAFIN,2021-09-30,2099-12-31
CIPLA,2021-03-31,2099-12-31
COALINDIA,2021-03-31,2099-12-31
COLPAL,2021-03-31,2024-09-30
CUMMINSIND,2026-03-31,2099-12-31
DABUR,2021-03-31,2025-09-30
DIVISLAB,2021-03-31,2099-12-31
DLF,2021-03-31,2099-12-31
DMART,2021-03-31,2099-12-31
DRREDDY,2021-03-31,2099-12-31
EICHERMOT,2021-03-31,2099-12-31
ENRIN,2025-09-30,2099-12-31
ETERNAL,2025-09-30,2099-12-31
GAIL,2021-03-31,2099-12-31
GLAND,2021-09-30,2024-09-30
GODREJCP,2021-03-31,2099-12-31
GRASIM,2021-03-31,2099-12-31
HAL,2024-09-30,2099-12-31
HAVELLS,2021-03-31,2026-03-31
HCLTECH,2021-03-31,2099-12-31
HDFC,2021-03-31,2023-09-30
HDFCAMC,2021-03-31,2024-09-30
HDFCAMC,2026-03-31,2099-12-31
HDFCBANK,2021-03-31,2099-12-31
HDFCLIFE,2021-03-31,2099-12-31
HEROMOTOCO,2021-03-31,2025-09-30
HINDALCO,2021-03-31,2099-12-31
HINDPETRO,2021-03-31,2022-03-31
HINDUNILVR,2021-03-31,2099-12-31
HINDZINC,2025-09-30,2099-12-31
HYUNDAI,2025-03-31,2099-12-31
ICICIBANK,2021-03-31,2099-12-31
ICICIGI,2021-03-31,2026-03-31
ICICIPRULI,2021-03-31,2025-09-30
IGL,2021-03-31,2022-03-31
INDHOTEL,2025-03-31,2099-12-31
INDIGO,2021-03-31,2099-12-31
INDUSINDBK,2021-03-31,2025-09-30
INDUSTOWER,2021-03-31,2024-09-30
INFY,2021-03-31,2099-12-31
IOC,2021-03-31,2099-12-31
IRCTC,2024-09-30,2025-03-31
IRFC,2024-09-30,2099-12-31
ITC,2021-03-31,2099-12-31
JINDALSTEL,2021-09-30,2022-03-31
JINDALSTEL,2024-09-30,2099-12-31
JIOFIN,2024-09-30,2099-12-31
JSWENERGY,2024-09-30,2026-03-31
JSWSTEEL,2021-03-31,2099-12-31
JUBLFOOD,2021-03-31,2024-09-30
KOTAKBANK,2021-03-31,2099-12-31
LICI,2024-09-30,2026-03-31
LODHA,2024-09-30,2099-12-31
LT,2021-03-31,2099-12-31
LTI,2021-03-31,2024-09-30
LTIM,2023-09-30,2026-03-31
LTM,2026-03-31,2099-12-31
LUPIN,2021-03-31,2024-09-30
M&M,2021-03-31,2099-12-31
MARICO,2021-03-31,2024-09-30
MARUTI,2021-03-31,2099-12-31
MAXHEALTH,2025-09-30,2099-12-31
MAZDOCK,2025-09-30,2099-12-31
MCDOWELL-N,2021-03-31,2024-09-30
MINDTREE,2022-03-31,2024-09-30
MOTHERSON,2024-09-30,2099-12-31
MOTHERSUMI,2021-03-31,2021-09-30
MRF,2021-03-31,2021-09-30
MUTHOOTFIN,2021-03-31,2024-09-30
MUTHOOTFIN,2026-03-31,2099-12-31
NAUKRI,2021-03-31,2026-03-31
NESTLEIND,2021-03-31,2099-12-31
NHPC,2024-09-30,2025-03-31
NMDC,2021-03-31,2024-09-30
NTPC,2021-03-31,2099-12-31
NYKAA,2022-03-31,2024-09-30
ONGC,2021-03-31,2099-12-31
PAYTM,2022-03-31,2024-09-30
PEL,2021-03-31,2024-09-30
PETRONET,2021-03-31,2021-09-30
PFC,2024-09-30,2099-12-31
PGHH,2021-03-31,2024-09-30
PIDILITIND,2021-03-31,2099-12-31
PIIND,2021-09-30,2024-09-30
PNB,2021-03-31,2099-12-31
POWERGRID,2021-03-31,2099-12-31
RECLTD,2024-09-30,2099-12-31
RELIANCE,2021-03-31,2099-12-31
SAIL,2021-09-30,2024-09-30
SBICARD,2021-03-31,2024-09-30
SBILIFE,2021-03-31,2099-12-31
SBIN,2021-03-31,2099-12-31
SHREECEM,2021-03-31,2022-09-30
SHREECEM,2024-09-30,2099-12-31
SHRIRAMFIN,2024-03-31,2099-12-31
SIEMENS,2021-03-31,2099-12-31
SOLARINDS,2025-09-30,2099-12-31
SRF,2022-03-31,2024-09-30
SUNPHARMA,2021-03-31,2099-12-31
SWIGGY,2025-03-31,2025-09-30
TATACAP,2026-03-31,2099-12-31
TATACONSUM,2021-03-31,2099-12-31
TATAMOTORS,2021-03-31,2026-03-31
TATAPOWER,2024-09-30,2099-12-31
TATASTEEL,2021-03-31,2099-12-31
TCS,2021-03-31,2099-12-31
TECHM,2021-03-31,2099-12-31
TITAN,2021-03-31,2099-12-31
TMCV,2026-03-31,2099-12-31
TMPV,2026-03-31,2099-12-31
TORNTPHARM,2021-03-31,2099-12-31
TRENT,2024-09-30,2099-12-31
TVSMOTOR,2024-09-30,2099-12-31
UBL,2021-03-31,2021-09-30
ULTRACEMCO,2021-03-31,2099-12-31
UNIONBANK,2024-09-30,2025-03-31
UNIONBANK,2026-03-31,2099-12-31
UNITDSPR,2024-09-30,2099-12-31
UPL,2021-03-31,2024-03-31
VBL,2024-09-30,2099-12-31
VEDL,2021-03-31,2099-12-31
WIPRO,2021-03-31,2099-12-31
YESBANK,2021-03-31,2022-03-31
ZOMATO,2022-03-31,2025-09-30
ZYDUSLIFE,2022-03-31,2099-12-31
