Case: /app/exports/backtests/multiyear_n50/nifty50_ema_200_400_2025_2026
Capital: INR 1,000,000

 Max   Taken    Skip         Final     ROI%   MaxDD%  OpenEnd
------------------------------------------------------------------------
   1      26     365     1,046,281    +4.63    16.16        1
   2      54     337     1,067,675    +6.77    13.01        2
   3      82     309       994,389    -0.56    18.07        3
   5     133     258       995,524    -0.45    16.07        4
   8     206     185     1,021,513    +2.15    10.15        6
  10     242     149       986,265    -1.37    11.12        8
  20     378      13     1,008,776    +0.88     8.86       10
  30     391       0     1,010,588    +1.06     5.74       10
  50     391       0     1,005,976    +0.60     3.31       10
