entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,margin_required_inr,margin_pct_of_capital,exit_reason,month,year,running_pnl,equity,roi_pct,peak,drawdown_pct
2023-05-18,2023-05-25,2023-05-25,18129.9,19050,17200,19550,16700,2.07,1.79,1.95,1.84,0.0,0.0,0.0,0.0,0.07,0.0,0.07,50,3,10.500000000000002,499.931,74989.65,184306.5,36.86,EXPIRY,2023-05,2023,10.500000000000002,500010.5,0.0021,500010.5,0.0
2023-06-01,2023-06-29,2023-06-29,18487.8,19400,17550,19900,17050,7.45,18.72,6.44,11.21,0.0,0.0,0.0,0.0,8.52,0.0,8.52,50,3,1278.0,491.4785,73721.775,185797.5,37.16,EXPIRY,2023-06,2023,1288.5,501288.5,0.2577,501288.5,0.0
2023-07-13,2023-07-27,2023-07-27,19413.8,20400,18450,20900,17950,4.0,6.44,2.76,4.37,0.0,0.0,0.0,0.0,3.31,0.0,3.31,50,3,496.5,496.688,74503.2,197065.5,39.41,EXPIRY,2023-07,2023,1785.0,501785.0,0.357,501785.0,0.0
2023-08-10,2023-08-31,2023-08-31,19543.1,20500,18550,21000,18050,7.54,9.38,4.48,6.79,0.0,0.0,0.0,0.0,5.66,0.0,5.66,50,3,849.0,494.342,74151.29999999999,197464.5,39.49,EXPIRY,2023-08,2023,2634.0,502634.0,0.5268,502634.0,0.0
2023-08-31,2023-09-28,2023-09-28,19253.8,20200,18300,20700,17800,13.94,18.77,6.55,9.72,0.0,0.0,0.0,0.0,16.43,0.0,16.43,50,3,2464.5,483.5665,72534.975,193909.5,38.78,EXPIRY,2023-08,2023,5098.5,505098.5,1.0197,505098.5,0.0
2023-09-28,2023-10-26,2023-10-26,19523.6,20500,18550,21000,18050,22.4,32.71,12.48,15.35,0.0,0.0,0.0,0.0,27.28,0.0,27.28,50,3,4092.0,472.722,70908.29999999999,194980.5,39.0,EXPIRY,2023-09,2023,9190.5,509190.5,1.8381,509190.5,0.0
2023-11-02,2023-11-30,2023-11-30,19133.2,20100,18200,20600,17700,9.89,17.76,6.55,10.0,33.2,0.0,0.0,0.0,11.09,37.02,-25.93,50,3,-3889.5,488.914,73337.1,192847.5,38.57,EXPIRY,2023-11,2023,5301.0,505301.0,1.0602,509190.5,-0.7639
2023-12-07,2023-12-28,2023-12-28,20901.2,21950,19850,22450,19350,12.47,13.39,7.13,10.0,0.0,0.0,0.0,0.0,8.72,0.0,8.72,50,3,1308.0000000000002,491.283,73692.45000000001,210610.5,42.12,EXPIRY,2023-12,2023,6609.0,506609.0,1.3218,509190.5,-0.507
2024-01-04,2024-01-25,2024-01-25,21658.6,22750,20600,23250,20100,16.05,20.01,8.51,10.46,0.0,0.0,0.0,0.0,17.09,0.0,17.09,50,3,2563.5,482.911,72436.65,218239.5,43.65,EXPIRY,2024-01,2024,9172.5,509172.5,1.8345,509190.5,-0.0035
2024-01-25,2024-02-29,2024-02-29,21352.6,22400,20300,22900,19800,66.61,48.12,38.93,24.32,0.0,0.0,0.0,0.0,51.47,0.0,51.47,50,3,7720.5,448.526,67278.9,208282.5,41.66,EXPIRY,2024-01,2024,16893.0,516893.0,3.3786,516893.0,0.0
2024-02-29,2024-03-28,2024-03-28,21982.8,23100,20900,23600,20400,47.89,40.89,18.69,21.27,0.0,0.0,0.0,0.0,48.82,0.0,48.82,50,3,7323.0,451.1825,67677.375,218406.0,43.68,EXPIRY,2024-02,2024,24216.0,524216.0,4.8432,524216.0,0.0
2024-03-28,2024-04-25,2024-04-25,22326.9,23450,21200,23950,20700,28.75,27.05,12.19,14.14,0.0,0.0,0.0,0.0,29.46,0.0,29.46,50,3,4419.0,470.537,70580.54999999999,223765.5,44.75,EXPIRY,2024-03,2024,28635.0,528635.0,5.727,528635.0,0.0
2024-04-25,2024-05-30,2024-05-30,22570.3,23700,21450,24200,20950,29.07,46.64,16.5,27.89,0.0,0.0,0.0,0.0,31.33,0.0,31.33,50,3,4699.5,468.674,70301.09999999999,223606.5,44.72,EXPIRY,2024-04,2024,33334.5,533334.5,6.6669,533334.5,0.0
2024-06-06,2024-06-27,2024-06-27,22821.4,23950,21700,24450,21200,40.07,59.43,22.48,41.17,94.5,0.0,0.0,0.0,35.85,105.37,-69.52,50,3,-10428.0,464.1545,69623.17499999999,223267.5,44.65,EXPIRY,2024-06,2024,22906.5,522906.5,4.5813,533334.5,-1.9552
2024-07-04,2024-07-25,2024-07-25,24302.2,25500,23100,26000,22600,11.55,24.98,7.42,17.13,0.0,0.0,0.0,0.0,11.97,0.0,11.97,50,3,1795.5,488.0285,73204.275,244177.5,48.84,EXPIRY,2024-07,2024,24702.0,524702.0,4.9404,533334.5,-1.6186
2024-08-08,2024-08-29,2024-08-29,24117.0,25300,22900,25800,22400,20.01,61.23,8.74,40.37,0.0,0.0,0.0,0.0,32.13,0.0,32.13,50,3,4819.500000000001,467.869,70180.35,238453.5,47.69,EXPIRY,2024-08,2024,29521.5,529521.5,5.9043,533334.5,-0.7149
2024-09-05,2024-09-26,2024-09-26,25145.1,26400,23900,26900,23400,10.07,37.44,6.21,27.48,0.0,0.0,0.0,0.0,13.82,0.0,13.82,50,3,2073.0,486.177,72926.55,251476.5,50.3,EXPIRY,2024-09,2024,31594.5,531594.5,6.3189,533334.5,-0.3262
2024-10-03,2024-10-31,2024-10-31,25250.1,26500,24000,27000,23500,34.04,39.56,13.91,28.35,0.0,0.0,0.0,0.0,31.34,0.0,31.34,75,3,7051.5,468.6625,105449.0625,376816.5,75.36,EXPIRY,2024-10,2024,38646.0,538646.0,7.7292,538646.0,0.0
2024-10-31,2024-11-28,2024-11-28,24205.3,25400,23000,25900,22500,56.76,62.42,24.72,39.79,0.0,0.0,0.0,0.0,54.67,0.0,54.67,75,3,12300.75,445.329,100199.02500000001,355745.25,71.15,EXPIRY,2024-10,2024,50946.75,550946.75,10.1893,550946.75,0.0
2024-11-28,2024-12-26,2024-12-26,23914.2,25100,22700,25600,22200,49.31,45.49,18.69,28.35,0.0,0.0,0.0,0.0,47.77,0.0,47.77,75,3,10748.250000000002,452.229,101751.525,355086.0,71.02,EXPIRY,2024-11,2024,61695.0,561695.0,12.339,561695.0,0.0
2024-12-26,2025-01-30,2025-01-30,23750.2,24950,22550,25450,22050,60.63,57.5,25.93,33.29,0.0,0.0,0.0,0.0,58.9,0.0,58.9,75,3,13252.5,441.097,99246.82500000001,350050.5,70.01,EXPIRY,2024-12,2024,74947.5,574947.5,14.9895,574947.5,0.0
2025-01-30,2025-02-27,2025-02-27,23249.5,24400,22100,24900,21600,87.22,78.34,40.82,46.8,0.0,0.0,0.0,0.0,77.92,0.0,77.92,75,3,17532.0,422.07599999999996,94967.09999999999,336010.5,67.2,EXPIRY,2025-01,2025,92479.5,592479.5,18.4959,592479.5,0.0
