symbol,close,mcap_cr,weight
ADANIENT,2315.8,60154.0,0.57
ADANIPORTS,1182.95,87061.0,0.82
APOLLOHOSP,6616.2,66661.0,0.63
ASIANPAINT,2340.65,105588.0,1.0
AXISBANK,1102.0,314046.0,2.96
BAJAJ-AUTO,7878.85,87140.0,0.82
BAJFINANCE,8945.6,233295.0,2.2
BAJAJFINSV,2007.35,108913.0,1.03
BEL,301.32,107624.0,1.01
BHARTIARTL,1733.4,463767.0,4.37
CIPLA,1442.2,80914.0,0.76
COALINDIA,398.2,90200.0,0.85
DRREDDY,1144.2,69608.0,0.66
EICHERMOT,5347.7,73294.0,0.69
GRASIM,2611.15,99952.0,0.94
HCLTECH,1592.5,168458.0,1.59
HDFCBANK,1828.2,1387001.0,13.07
HDFCLIFE,685.7,73211.0,0.69
HEROMOTOCO,3722.95,48196.0,0.45
HINDALCO,682.45,98539.0,0.93
HINDUNILVR,2258.85,199930.0,1.88
ICICIBANK,1348.35,949135.0,8.95
ITC,409.75,380388.0,3.59
INDUSINDBK,649.85,42680.0,0.4
INFY,1570.65,563882.0,5.31
JSWSTEEL,1063.2,100600.0,0.95
JIOFIN,227.51,74322.0,0.7
KOTAKBANK,2171.2,318384.0,3.0
LT,3492.3,408859.0,3.85
M&M,2665.8,235587.0,2.22
MARUTI,11522.15,150812.0,1.42
NTPC,357.6,169103.0,1.59
NESTLEIND,2250.75,80483.0,0.76
ONGC,246.38,95439.0,0.9
POWERGRID,290.35,131238.0,1.24
RELIANCE,1275.1,861581.0,8.12
SBILIFE,1547.85,69184.0,0.65
SHRIRAMFIN,656.0,91566.0,0.86
SBIN,771.5,295602.0,2.79
SUNPHARMA,1734.7,186520.0,1.76
TCS,3606.15,367304.0,3.46
TATACONSUM,1001.9,65066.0,0.61
TATAMOTORS,674.45,140368.0,1.32
TATASTEEL,154.24,127196.0,1.2
TECHM,1418.25,89713.0,0.85
TITAN,3063.35,126002.0,1.19
TRENT,5325.15,118023.0,1.11
ULTRACEMCO,11509.55,133542.0,1.26
WIPRO,262.25,74287.0,0.7
ZOMATO,201.7,139749.0,1.32
