index_name,review_date,period,symbol,close,mcap_cr,weight
NIFTY_100,2021-03-31,Mar2021,POWERGRID,215.65,55281.0,0.75
NIFTY_100,2021-03-31,Mar2021,PGHH,12678.95,11935.0,0.16
NIFTY_100,2021-03-31,Mar2021,PNB,36.65,8832.0,0.12
NIFTY_100,2021-03-31,Mar2021,RELIANCE,2003.1,647625.0,8.77
NIFTY_100,2021-03-31,Mar2021,SBICARD,928.25,13096.0,0.18
NIFTY_100,2021-03-31,Mar2021,SBILIFE,880.85,34356.0,0.46
NIFTY_100,2021-03-31,Mar2021,SHREECEM,29465.4,39336.0,0.53
NIFTY_100,2021-03-31,Mar2021,SIEMENS,1844.0,16417.0,0.22
NIFTY_100,2021-03-31,Mar2021,SBIN,364.3,139803.0,1.89
NIFTY_100,2021-03-31,Mar2021,SUNPHARMA,597.8,64545.0,0.87
NIFTY_100,2021-03-31,Mar2021,TCS,3177.85,329141.0,4.45
NIFTY_100,2021-03-31,Mar2021,TATACONSUM,638.9,38271.0,0.52
NIFTY_100,2021-03-31,Mar2021,TATAMOTORS,301.8,54112.0,0.73
NIFTY_100,2021-03-31,Mar2021,TATASTEEL,811.85,61274.0,0.83
NIFTY_100,2021-03-31,Mar2021,TECHM,991.45,61439.0,0.83
NIFTY_100,2021-03-31,Mar2021,TITAN,1558.05,65011.0,0.88
NIFTY_100,2021-03-31,Mar2021,TORNTPHARM,2545.05,12490.0,0.17
NIFTY_100,2021-03-31,Mar2021,UPL,641.85,35309.0,0.48
NIFTY_100,2021-03-31,Mar2021,ULTRACEMCO,6737.95,77794.0,1.05
NIFTY_100,2021-03-31,Mar2021,UBL,1241.45,13786.0,0.19
NIFTY_100,2021-03-31,Mar2021,MCDOWELL-N,556.35,16575.0,0.22
NIFTY_100,2021-03-31,Mar2021,VEDL,228.75,38264.0,0.52
NIFTY_100,2021-03-31,Mar2021,WIPRO,414.15,61268.0,0.83
NIFTY_100,2021-03-31,Mar2021,YESBANK,15.6,19934.0,0.27
NIFTY_200,2021-03-31,Mar2021,ACC,1903.25,16083.0,0.19
NIFTY_200,2021-03-31,Mar2021,AUBANK,1227.85,26058.0,0.31
NIFTY_200,2021-03-31,Mar2021,AARTIIND,1317.45,12166.0,0.14
NIFTY_200,2021-03-31,Mar2021,ABBOTINDIA,14983.3,7960.0,0.09
NIFTY_200,2021-03-31,Mar2021,ADANIENT,1031.15,28352.0,0.34
NIFTY_200,2021-03-31,Mar2021,ADANIGREEN,1104.85,43200.0,0.51
NIFTY_200,2021-03-31,Mar2021,ADANIPORTS,702.4,51376.0,0.61
NIFTY_200,2021-03-31,Mar2021,ATGL,961.25,26430.0,0.31
NIFTY_200,2021-03-31,Mar2021,ADANITRANS,908.4,24977.0,0.3
NIFTY_200,2021-03-31,Mar2021,ABCAPITAL,119.3,7203.0,0.09
NIFTY_200,2021-03-31,Mar2021,ABFRL,201.25,6312.0,0.07
NIFTY_200,2021-03-31,Mar2021,AJANTPHARM,1791.9,4652.0,0.06
NIFTY_200,2021-03-31,Mar2021,APLLTD,964.95,5690.0,0.07
NIFTY_200,2021-03-31,Mar2021,ALKEM,2769.8,11591.0,0.14
NIFTY_200,2021-03-31,Mar2021,AMARAJABAT,853.8,7000.0,0.08
NIFTY_200,2021-03-31,Mar2021,AMBUJACEM,308.85,22691.0,0.27
NIFTY_200,2021-03-31,Mar2021,APOLLOHOSP,2902.65,29215.0,0.35
NIFTY_200,2021-03-31,Mar2021,APOLLOTYRE,223.7,7388.0,0.09
NIFTY_200,2021-03-31,Mar2021,ASHOKLEY,113.5,16326.0,0.19
NIFTY_200,2021-03-31,Mar2021,ASIANPAINT,2537.4,114392.0,1.36
NIFTY_200,2021-03-31,Mar2021,AUROPHARMA,881.3,24787.0,0.29
NIFTY_200,2021-03-31,Mar2021,DMART,2859.05,42596.0,0.51
NIFTY_200,2021-03-31,Mar2021,AXISBANK,697.45,175198.0,2.08
NIFTY_200,2021-03-31,Mar2021,BAJAJ-AUTO,3670.6,47797.0,0.57
NIFTY_200,2021-03-31,Mar2021,BAJFINANCE,5149.85,136542.0,1.62
NIFTY_200,2021-03-31,Mar2021,BAJAJFINSV,9668.6,58468.0,0.69
NIFTY_200,2021-03-31,Mar2021,BAJAJHLDNG,3293.05,16492.0,0.2
NIFTY_200,2021-03-31,Mar2021,BALKRISIND,1688.5,13709.0,0.16
NIFTY_200,2021-03-31,Mar2021,BANDHANBNK,338.9,22925.0,0.27
NIFTY_200,2021-03-31,Mar2021,BANKBARODA,74.1,13795.0,0.16
