symbol,close,mcap_cr,weight
ABB,5183.3,27110.0,1.2
ADANIENSOL,872.25,30175.0,1.33
ADANIGREEN,1026.85,31348.0,1.39
ADANIPOWER,144.65,56774.0,2.51
AMBUJACEM,569.95,35572.0,1.57
DMART,4475.4,65691.0,2.91
BAJAJHLDNG,12247.0,52878.0,2.34
BAJAJHFL,110.01,10217.0,0.45
BANKBARODA,258.54,47596.0,2.11
BPCL,339.65,65652.0,2.9
BOSCHLTD,38145.0,32990.0,1.46
BRITANNIA,5991.0,70454.0,3.12
CGPOWER,740.95,50722.0,2.24
CANBK,123.71,41592.0,1.84
CHOLAFIN,1610.8,67699.0,2.99
DLF,713.0,45611.0,2.02
DIVISLAB,5689.5,72067.0,3.19
GAIL,176.29,47420.0,2.1
GODREJCP,1166.9,46810.0,2.07
HAVELLS,1502.0,37763.0,1.67
HAL,4746.5,89859.0,3.97
HINDZINC,482.45,20856.0,0.92
HYUNDAI,2584.4,36748.0,1.63
ICICIGI,1889.8,45486.0,2.01
INDHOTEL,720.3,63091.0,2.79
IOC,149.79,55812.0,2.47
IRFC,123.51,22007.0,0.97
NAUKRI,1309.3,50750.0,2.24
JSWENERGY,530.85,28345.0,1.25
JINDALSTEL,1063.75,39649.0,1.75
LTIM,5157.5,47686.0,2.11
LICI,900.35,19931.0,0.88
LODHA,1135.8,31822.0,1.41
MAZDOCK,2761.5,20922.0,0.93
PIDILITIND,1468.0,45442.0,2.01
PFC,410.25,59569.0,2.63
PNB,112.83,38796.0,1.72
RECLTD,372.85,46441.0,2.05
MOTHERSON,105.65,46779.0,2.07
SHREECEM,29265.0,39028.0,1.73
ENRIN,3432.8,30277.0,1.34
SIEMENS,3129.2,27579.0,1.22
SOLARINDS,13326.0,32373.0,1.43
TVSMOTOR,3438.7,80491.0,3.56
TATAPOWER,388.65,65083.0,2.88
TORNTPHARM,3603.2,37581.0,1.66
UNITDSPR,1324.3,39004.0,1.73
VBL,443.7,59946.0,2.65
VEDL,465.8,78799.0,3.49
ZYDUSLIFE,981.9,24458.0,1.08
