symbol,close,mcap_cr,weight
ACC,2151.35,19857.0,1.58
ADANIENT,2014.75,60507.0,4.81
ADANIGREEN,1914.7,44556.0,3.54
ADANITRANS,2368.15,44036.0,3.5
AMBUJACEM,299.25,24014.0,1.91
DMART,4003.35,40338.0,3.2
BAJAJHLDNG,5011.05,16973.0,1.35
BANDHANBNK,307.4,22715.0,1.8
BANKBARODA,111.6,22693.0,1.8
BERGEPAINT,699.7,18558.0,1.47
BIOCON,335.6,16724.0,1.33
BOSCHLTD,14438.5,13489.0,1.07
CHOLAFIN,718.45,30925.0,2.46
COLPAL,1542.25,22450.0,1.78
DLF,380.45,25715.0,2.04
DABUR,536.2,34167.0,2.71
NYKAA,1689.55,6501.0,0.52
GAIL,155.65,30951.0,2.46
GLAND,3272.65,11637.0,0.92
GODREJCP,747.3,30883.0,2.45
HDFCAMC,2146.05,15497.0,1.23
HAVELLS,1152.55,31538.0,2.51
ICICIGI,1328.3,37035.0,2.94
ICICIPRULI,500.9,21232.0,1.69
IOC,118.95,33024.0,2.62
INDUSTOWER,222.05,19609.0,1.56
NAUKRI,4509.45,38059.0,3.02
INDIGO,2014.15,21189.0,1.68
JUBLFOOD,2636.5,22042.0,1.75
LTI,6155.4,30638.0,2.43
LUPIN,747.05,19653.0,1.56
MARICO,503.7,28449.0,2.26
MINDTREE,4302.9,30213.0,2.4
MUTHOOTFIN,1330.95,15753.0,1.25
NMDC,162.55,20292.0,1.61
PAYTM,528.45,3245.0,0.26
PIIND,2819.65,24765.0,1.97
PIDILITIND,2454.3,40877.0,3.25
PEL,2186.9,31925.0,2.54
PGHH,14415.6,9178.0,0.73
PNB,35.05,11382.0,0.9
SBICARD,851.7,23689.0,1.88
SRF,2679.35,42507.0,3.38
SIEMENS,2368.2,23029.0,1.83
SAIL,98.55,15562.0,1.24
TORNTPHARM,2791.95,14965.0,1.19
MCDOWELL-N,888.35,28908.0,2.3
VEDL,403.35,49130.0,3.9
ZOMATO,82.3,7887.0,0.63
ZYDUSLIFE,348.5,9742.0,0.77
