symbol,close,mcap_cr,weight
ADANIENT,2505.9,65092.0,0.58
ADANIPORTS,1403.5,103292.0,0.92
APOLLOHOSP,7409.0,74647.0,0.66
ASIANPAINT,2350.0,105976.0,0.94
AXISBANK,1131.6,323163.0,2.87
BAJAJ-AUTO,8678.5,95927.0,0.85
BAJFINANCE,998.9,265031.0,2.35
BAJAJFINSV,2006.4,114207.0,1.01
BEL,403.95,144281.0,1.28
BHARTIARTL,1878.4,510542.0,4.53
CIPLA,1503.3,84319.0,0.75
COALINDIA,389.95,88310.0,0.78
DRREDDY,1223.7,74343.0,0.66
EICHERMOT,7005.5,96129.0,0.85
ETERNAL,325.5,226021.0,2.01
GRASIM,2756.9,105044.0,0.93
HCLTECH,1385.1,146339.0,1.3
HDFCBANK,951.0,1448429.0,12.87
HDFCLIFE,756.45,80945.0,0.72
HINDALCO,761.95,110050.0,0.98
HINDUNILVR,2514.4,222528.0,1.98
ICICIBANK,1348.0,959257.0,8.52
ITC,401.55,385806.0,3.43
INFY,1441.8,517987.0,4.6
INDIGO,5594.5,121877.0,1.08
JSWSTEEL,1142.7,106747.0,0.95
JIOFIN,293.2,95821.0,0.85
KOTAKBANK,1992.7,292236.0,2.6
LT,3659.0,428508.0,3.81
M&M,3427.0,302867.0,2.69
MARUTI,16029.0,209749.0,1.86
MAXHEALTH,1114.7,82628.0,0.73
NTPC,340.45,160963.0,1.43
NESTLEIND,1152.9,82433.0,0.73
ONGC,239.5,92774.0,0.82
POWERGRID,280.25,126590.0,1.12
RELIANCE,1364.0,920814.0,8.18
SBILIFE,1790.6,80108.0,0.71
SHRIRAMFIN,616.1,86024.0,0.76
SBIN,872.45,360977.0,3.21
SUNPHARMA,1594.3,167545.0,1.49
TCS,2888.4,294172.0,2.61
TATACONSUM,1129.3,73346.0,0.65
TATAMOTORS,680.2,141688.0,1.26
TATASTEEL,168.77,139178.0,1.24
TECHM,1400.3,88650.0,0.79
TITAN,3367.0,138557.0,1.23
TRENT,4677.5,103536.0,0.92
ULTRACEMCO,12222.0,144681.0,1.29
WIPRO,239.37,68107.0,0.6
