symbol,close,mcap_cr,weight
ADANIENT,1750.45,47892.0,0.63
ADANIPORTS,631.9,47775.0,0.63
APOLLOHOSP,4310.9,43389.0,0.57
ASIANPAINT,2761.65,124502.0,1.63
AXISBANK,858.5,235068.0,3.08
BAJAJ-AUTO,3884.75,43969.0,0.58
BAJFINANCE,5616.75,149624.0,1.96
BAJAJFINSV,1266.5,68588.0,0.9
BPCL,344.3,32862.0,0.43
BHARTIARTL,749.0,183734.0,2.41
BRITANNIA,4322.15,51012.0,0.67
CIPLA,900.5,47244.0,0.62
COALINDIA,213.65,44767.0,0.59
DIVISLAB,2823.35,35977.0,0.47
DRREDDY,4622.75,56196.0,0.74
EICHERMOT,2948.85,40323.0,0.53
GRASIM,1632.7,60201.0,0.79
HCLTECH,1085.25,114855.0,1.51
HDFCBANK,1609.55,709489.0,9.31
HDFCLIFE,499.2,49356.0,0.65
HEROMOTOCO,2347.35,30491.0,0.4
HINDALCO,405.35,59209.0,0.78
HINDUNILVR,2560.35,228599.0,3.0
HDFC,2625.5,475679.0,6.24
ICICIBANK,877.25,612483.0,8.04
ITC,383.5,338189.0,4.44
INDUSINDBK,1067.95,69601.0,0.91
INFY,1427.95,509459.0,6.68
JSWSTEEL,688.1,64868.0,0.85
KOTAKBANK,1732.85,254731.0,3.34
LT,2164.2,261582.0,3.43
M&M,1158.7,103743.0,1.36
MARUTI,8292.15,110215.0,1.45
NTPC,175.1,83196.0,1.09
NESTLEIND,19704.5,70293.0,0.92
ONGC,151.05,58908.0,0.77
POWERGRID,225.7,77144.0,1.01
RELIANCE,2331.05,788535.0,10.34
SBILIFE,1101.1,49593.0,0.65
SBIN,523.75,200993.0,2.64
SUNPHARMA,983.1,106145.0,1.39
TCS,3205.9,328455.0,4.31
TATACONSUM,708.85,42146.0,0.55
TATAMOTORS,420.8,74074.0,0.97
TATASTEEL,104.5,84292.0,1.11
TECHM,1101.85,68695.0,0.9
TITAN,2514.9,104937.0,1.38
UPL,717.65,37168.0,0.49
ULTRACEMCO,7622.15,88015.0,1.15
WIPRO,365.25,54120.0,0.71
