symbol,close,mcap_cr,weight
ACC,2254.5,19051.0,0.21
ADANIENT,1468.1,40366.0,0.45
ADANIGREEN,1146.6,46626.0,0.52
ADANIPORTS,737.9,54238.0,0.61
ADANITRANS,1558.5,42851.0,0.48
AMBUJACEM,400.2,29402.0,0.33
APOLLOHOSP,4481.6,45107.0,0.5
ASIANPAINT,3244.65,146276.0,1.64
AUROPHARMA,724.8,20385.0,0.23
DMART,4250.2,63323.0,0.71
AXISBANK,766.55,197440.0,2.21
BAJAJ-AUTO,3832.65,49907.0,0.56
BAJFINANCE,7668.1,203651.0,2.28
BAJAJFINSV,17786.75,107560.0,1.2
BAJAJHLDNG,4808.6,24082.0,0.27
BANDHANBNK,283.0,19145.0,0.21
BANKBARODA,81.75,15219.0,0.17
BERGEPAINT,809.0,19644.0,0.22
BPCL,432.2,41252.0,0.46
BHARTIARTL,688.3,162547.0,1.82
BIOCON,362.7,16547.0,0.19
BOSCHLTD,15474.5,13236.0,0.15
BRITANNIA,3948.95,46608.0,0.52
CADILAHC,551.85,14124.0,0.16
CHOLAFIN,564.25,22226.0,0.25
CIPLA,983.55,49983.0,0.56
COALINDIA,185.1,38785.0,0.43
COLPAL,1669.5,22250.0,0.25
DLF,417.2,25818.0,0.29
DABUR,617.05,35998.0,0.4
DIVISLAB,4798.7,61147.0,0.68
DRREDDY,4880.7,59286.0,0.66
EICHERMOT,2790.2,38905.0,0.44
GAIL,158.85,28920.0,0.32
GLAND,3719.9,18328.0,0.21
GODREJCP,1029.9,38965.0,0.44
GRASIM,1669.45,63723.0,0.71
HCLTECH,1279.55,138891.0,1.55
HDFCAMC,2908.6,16120.0,0.18
HDFCBANK,1594.95,697725.0,7.8
HDFCLIFE,722.4,67229.0,0.75
HAVELLS,1373.1,34399.0,0.38
HEROMOTOCO,2832.5,36785.0,0.41
HINDALCO,487.95,71271.0,0.8
HINDPETRO,300.0,19150.0,0.21
HINDUNILVR,2701.8,241229.0,2.7
HDFC,2754.3,497111.0,5.56
ICICIBANK,700.85,485931.0,5.44
ICICIGI,1589.5,40542.0,0.45
ICICIPRULI,671.85,26063.0,0.29
ITC,236.15,206571.0,2.31
IOC,125.3,31849.0,0.36
IGL,533.1,18659.0,0.21
INDUSTOWER,308.7,24958.0,0.28
INDUSINDBK,1111.9,67135.0,0.75
NAUKRI,6431.4,49696.0,0.56
INFY,1675.2,621048.0,6.95
INDIGO,2021.7,19466.0,0.22
JSWSTEEL,668.3,66233.0,0.74
JINDALSTEL,389.25,15883.0,0.18
JUBLFOOD,4040.9,30930.0,0.35
KOTAKBANK,2005.5,294295.0,3.29
LTI,5765.15,26257.0,0.29
LT,1702.95,205717.0,2.3
LUPIN,951.6,22899.0,0.26
M&M,803.05,76873.0,0.86
MARICO,547.5,28294.0,0.32
MARUTI,7338.05,97534.0,1.09
MUTHOOTFIN,1450.3,15710.0,0.18
NMDC,143.0,16344.0,0.18
NTPC,141.85,67398.0,0.75
NESTLEIND,19445.55,69370.0,0.78
ONGC,144.5,52718.0,0.59
PIIND,3178.35,25557.0,0.29
PIDILITIND,2381.95,36312.0,0.41
PEL,2595.8,31596.0,0.35
POWERGRID,189.9,64907.0,0.73
PGHH,14073.8,13249.0,0.15
PNB,40.1,11922.0,0.13
RELIANCE,2519.25,814503.0,9.11
SBICARD,1029.6,23257.0,0.26
SBILIFE,1215.1,53475.0,0.6
SHREECEM,28901.55,38583.0,0.43
SIEMENS,2129.4,18958.0,0.21
SBIN,453.0,173843.0,1.94
SAIL,113.65,16430.0,0.18
SUNPHARMA,818.25,88347.0,0.99
TCS,3775.55,391047.0,4.37
TATACONSUM,813.6,48735.0,0.55
TATAMOTORS,333.35,59769.0,0.67
TATASTEEL,1288.9,100783.0,1.13
TECHM,1380.6,85682.0,0.96
TITAN,2161.85,90205.0,1.01
TORNTPHARM,3085.5,15142.0,0.17
UPL,707.7,38931.0,0.44
ULTRACEMCO,7396.1,85398.0,0.96
MCDOWELL-N,853.1,25416.0,0.28
VEDL,287.65,37424.0,0.42
WIPRO,634.1,93817.0,1.05
YESBANK,12.55,16036.0,0.18
