trade_num,entry_date,entry_time,exit_date,exit_time,symbol,qty,entry_price,exit_price,pnl_inr,pnl_pct,holding_bars,reason,cash_before,cash_after
1,2025-05-14,15:00,2025-05-14,15:15,M&M,161,3103.4,3103.1,-48.300000000029286,-0.009666817039382028,1,STOP,500352.6,999951.7
2,2025-05-15,10:30,2025-05-15,15:15,M&M,160,3108.8,3132.0,3711.999999999971,0.746268656716412,1,TARGET,502543.69999999995,1003663.7
3,2025-05-20,13:30,2025-05-20,15:15,M&M,163,3061.4,3073.0,1890.7999999999852,0.3789116090677438,1,STOP,504655.49999999994,1005554.5
4,2025-05-21,10:30,2025-05-21,15:15,M&M,161,3114.0,3086.3,-4459.699999999971,-0.8895311496467507,1,STOP,504200.5,1001094.8
5,2025-05-22,11:30,2025-05-22,15:15,M&M,166,3012.6,3016.0,564.4000000000151,0.11285932417181474,1,STOP,501003.20000000007,1001659.2000000001
6,2025-05-28,15:00,2025-05-28,15:15,M&M,167,2997.4,2994.5,-484.3000000000152,-0.09675051711483589,1,TARGET,501093.4000000001,1001174.9000000001
7,2025-05-30,15:15,2025-05-30,15:15,M&M,168,2967.0,2967.0,0.0,0.0,1,TARGET,502718.90000000014,1001174.9000000001
8,2025-06-05,10:30,2025-06-05,15:15,M&M,164,3046.6,3045.0,-262.3999999999851,-0.052517560559309034,1,TARGET,501532.5000000002,1000912.5000000002
9,2025-06-06,15:00,2025-06-06,15:15,M&M,161,3105.2,3103.5,-273.6999999999707,-0.054746876207645824,1,STOP,500975.3000000003,1000638.8000000003
10,2025-06-10,14:45,2025-06-10,15:15,M&M,163,3063.7,3075.2,1874.5,0.3753631230211836,1,STOP,501255.7000000003,1002513.3000000003
11,2025-06-12,13:15,2025-06-12,15:15,M&M,164,3038.5,3008.0,-5002.0,-1.0037847622181997,1,TARGET,504199.3000000003,997511.3000000003
12,2025-06-13,15:00,2025-06-13,15:15,M&M,165,3005.7,3005.9,33.00000000004502,0.0066540240210357935,1,TARGET,501570.80000000034,997544.3000000003
13,2025-06-16,15:00,2025-06-16,15:15,M&M,164,3028.5,3025.0,-574.0,-0.11556876341423147,1,STOP,500870.3000000003,996970.3000000003
14,2025-06-19,14:00,2025-06-19,15:15,M&M,160,3102.0,3089.0,-2080.0,-0.4190844616376531,1,STOP,500650.3000000003,994890.3000000003
15,2025-06-20,15:00,2025-06-20,15:15,M&M,156,3184.2,3189.9,889.2000000000426,0.17900885622763246,1,TARGET,498155.1000000003,995779.5000000003
16,2025-06-25,14:30,2025-06-25,15:15,M&M,155,3208.7,3218.0,1441.5000000000282,0.28983700564091947,1,TARGET,498431.00000000035,997221.0000000003
17,2025-06-26,12:45,2025-06-26,15:15,M&M,156,3187.3,3203.2,2480.3999999999432,0.4988548301069757,1,STOP,500002.2000000003,999701.4000000003
18,2025-07-02,15:15,2025-07-02,15:15,M&M,157,3164.8,3164.8,0.0,0.0,1,TARGET,502827.8000000002,999701.4000000003
19,2025-07-11,15:00,2025-07-11,15:15,M&M,162,3072.0,3071.0,-162.0,-0.03255208333333333,1,TARGET,502037.40000000026,999539.4000000003
20,2025-07-15,15:15,2025-07-15,15:15,M&M,159,3135.0,3135.0,0.0,0.0,1,TARGET,501074.40000000026,999539.4000000003
21,2025-07-16,13:45,2025-07-16,15:15,M&M,156,3194.9,3203.0,1263.5999999999858,0.25352906194246794,1,TARGET,501135.00000000023,1000803.0000000002
22,2025-07-21,15:00,2025-07-21,15:15,M&M,153,3252.0,3246.3,-872.0999999999722,-0.17527675276752208,1,STOP,503247.00000000023,999930.9000000003
23,2025-07-22,12:30,2025-07-22,15:15,M&M,152,3268.0,3260.0,-1216.0,-0.24479804161566704,1,STOP,503194.90000000026,998714.9000000003
24,2025-07-24,15:15,2025-07-24,15:15,M&M,153,3245.0,3245.0,0.0,0.0,1,TARGET,502229.90000000026,998714.9000000003
25,2025-07-28,15:00,2025-07-28,15:15,M&M,155,3207.0,3210.0,465.0,0.09354536950420954,1,STOP,501629.90000000026,999179.9000000003
26,2025-07-29,15:00,2025-07-29,15:15,M&M,156,3193.3,3207.0,2137.1999999999716,0.42902326746625175,1,STOP,501025.1000000002,1001317.1000000002
27,2025-07-30,12:00,2025-07-30,14:30,M&M,158,3160.0,3212.3,8263.400000000029,1.6550632911392464,2,STOP,519.1000000002095,508062.50000000023
28,2025-07-30,14:30,2025-07-30,14:30,M&M,155,3235.6,3212.3,-3611.4999999999577,-0.720113734701438,1,STOP,508062.50000000023,1005969.0000000002
29,2025-08-06,15:15,2025-08-06,15:15,M&M,155,3240.1,3240.1,0.0,0.0,1,TARGET,503753.50000000023,1005969.0000000002
30,2025-08-08,14:00,2025-08-08,15:15,M&M,158,3164.7,3141.8,-3618.1999999999425,-0.7236072929503472,1,TARGET,505946.40000000026,1002350.8000000003
31,2025-08-11,13:45,2025-08-11,15:15,M&M,157,3179.8,3184.1,675.0999999999572,0.13522863073148397,1,TARGET,503122.20000000024,1003025.9000000003
32,2025-08-13,15:00,2025-08-13,15:15,M&M,152,3278.8,3294.0,2310.3999999999724,0.4635842381358978,1,TARGET,504648.3000000002,1005336.3000000003
33,2025-08-14,15:00,2025-08-14,15:15,M&M,154,3263.5,3265.0,231.0,0.04596292324191818,1,STOP,502757.3000000003,1005567.3000000003
34,2025-08-21,15:00,2025-08-21,15:15,M&M,148,3376.4,3377.5,162.79999999998654,0.03257907830825462,1,STOP,505860.10000000027,1005730.1000000003
