entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,margin_required_inr,margin_pct_of_capital,exit_reason,month,year,running_pnl,equity,peak,drawdown_pct
2023-05-22,2023-05-30,2023-05-30,19386.2,19950,18800,20250,18500,8.3,13.63,2.48,6.05,0.0,0.0,0.0,0.0,13.4,0.0,13.4,40,1,536.0,286.596,11463.84,52358.8,26.2,EXPIRY,2023-05,2023,536.0,200536.0,200536.0,0.0
2023-06-26,2023-06-27,2023-06-27,19521.8,20100,18950,20400,18650,0.96,1.15,0.81,0.86,0.0,0.0,0.0,0.0,0.44,0.0,0.44,40,1,17.6,299.562,11982.48,53041.2,26.5,EXPIRY,2023-06,2023,553.6,200553.6,200553.6,0.0
2023-07-17,2023-07-25,2023-07-25,20301.2,20900,19700,21200,19400,14.93,21.94,5.02,12.31,0.0,0.0,0.0,0.0,19.53,0.0,19.53,40,1,781.2,280.47,11218.800000000001,54522.8,27.3,EXPIRY,2023-07,2023,1334.8000000000002,201334.8,201334.8,0.0
2023-09-18,2023-09-21,2023-09-26,20408.2,21000,19800,21300,19500,10.51,11.38,5.4,6.1,1.45,74.9,1.25,13.95,10.39,64.82,-54.43,40,1,-2177.2,289.61400000000003,11584.560000000001,55028.0,27.5,SL,2023-09,2023,-842.3999999999996,199157.6,201334.8,-1.0813828508533958
2023-10-23,2023-10-31,2023-10-31,19404.8,20000,18800,20300,18500,13.73,24.62,7.13,12.42,0.0,0.0,0.0,0.0,18.8,0.0,18.8,40,1,752.0,281.196,11247.84,51986.0,26.0,EXPIRY,2023-10,2023,-90.39999999999964,199909.6,201334.8,-0.7078756379920325
2023-11-20,2023-11-28,2023-11-28,19518.6,20100,18950,20400,18650,11.71,11.71,4.43,5.13,0.0,0.0,0.0,0.0,13.87,0.0,13.87,40,1,554.8,286.134,11445.36,52725.6,26.4,EXPIRY,2023-11,2023,464.4000000000003,200464.4,201334.8,-0.4323147314820857
2023-12-18,2023-12-26,2023-12-26,21444.9,22100,20800,22400,20500,13.97,16.75,7.56,8.37,0.0,0.0,0.0,0.0,14.79,0.0,14.79,40,1,591.5999999999999,285.21,11408.4,57706.8,28.9,EXPIRY,2023-12,2023,1056.0000000000002,201056.0,201334.8,-0.1384758124278507
2024-01-29,2024-01-30,2024-01-30,20413.3,21050,19800,21350,19500,0.91,1.92,0.54,0.92,0.0,0.0,0.0,0.0,1.37,0.0,1.37,40,1,54.800000000000004,298.626,11945.039999999999,55497.6,27.7,EXPIRY,2024-01,2024,1110.8000000000002,201110.8,201334.8,-0.11125746766083161
2024-02-26,2024-02-27,2024-02-27,20619.7,21250,20000,21550,19700,0.86,1.15,0.59,0.54,0.0,0.0,0.0,0.0,0.88,0.0,0.88,40,1,35.2,299.118,11964.72,56054.8,28.0,EXPIRY,2024-02,2024,1146.0000000000002,201146.0,201334.8,-0.09377415131412373
2024-04-29,2024-04-30,2024-04-30,21811.2,22450,21150,22750,20850,0.72,4.18,0.54,2.86,0.0,0.0,0.0,0.0,1.49,0.0,1.49,40,1,59.6,298.50600000000003,11940.240000000002,59160.0,29.6,EXPIRY,2024-04,2024,1205.6000000000001,201205.6,201334.8,-0.06417171795436385
